Observation,X1,X2,X3,Y,CaseGroup
1,10.1,19.6,28.3,9.7,Cases 1-10 (bad leverage)
2,9.5,20.5,28.9,10.1,Cases 1-10 (bad leverage)
3,10.7,20.2,31.0,10.3,Cases 1-10 (bad leverage)
4,9.9,21.5,31.7,9.5,Cases 1-10 (bad leverage)
5,10.3,21.1,31.1,10.0,Cases 1-10 (bad leverage)
6,10.8,20.4,29.2,10.0,Cases 1-10 (bad leverage)
7,10.5,20.9,29.1,10.8,Cases 1-10 (bad leverage)
8,9.9,19.6,28.8,10.3,Cases 1-10 (bad leverage)
9,9.7,20.7,31.0,9.6,Cases 1-10 (bad leverage)
10,9.3,19.7,30.3,9.9,Cases 1-10 (bad leverage)
11,11.0,24.0,35.0,-0.2,Cases 11-14 (good leverage)
12,12.0,23.0,37.0,-0.4,Cases 11-14 (good leverage)
13,12.0,26.0,34.0,0.7,Cases 11-14 (good leverage)
14,11.0,34.0,34.0,0.1,Cases 11-14 (good leverage)
15,3.4,2.9,2.1,-0.4,Cases 15-75 (regular)
16,3.1,2.2,0.3,0.6,Cases 15-75 (regular)
17,0.0,1.6,0.2,-0.2,Cases 15-75 (regular)
18,2.3,1.6,2.0,0.0,Cases 15-75 (regular)
19,0.8,2.9,1.6,0.1,Cases 15-75 (regular)
20,3.1,3.4,2.2,0.4,Cases 15-75 (regular)
21,2.6,2.2,1.9,0.9,Cases 15-75 (regular)
22,0.4,3.2,1.9,0.3,Cases 15-75 (regular)
23,2.0,2.3,0.8,-0.8,Cases 15-75 (regular)
24,1.3,2.3,0.5,0.7,Cases 15-75 (regular)
25,1.0,0.0,0.4,-0.3,Cases 15-75 (regular)
26,0.9,3.3,2.5,-0.8,Cases 15-75 (regular)
27,3.3,2.5,2.9,-0.7,Cases 15-75 (regular)
28,1.8,0.8,2.0,0.3,Cases 15-75 (regular)
29,1.2,0.9,0.8,0.3,Cases 15-75 (regular)
30,1.2,0.7,3.4,-0.3,Cases 15-75 (regular)
31,3.1,1.4,1.0,0.0,Cases 15-75 (regular)
32,0.5,2.4,0.3,-0.4,Cases 15-75 (regular)
33,1.5,3.1,1.5,-0.6,Cases 15-75 (regular)
34,0.4,0.0,0.7,-0.7,Cases 15-75 (regular)
35,3.1,2.4,3.0,0.3,Cases 15-75 (regular)
36,1.1,2.2,2.7,-1.0,Cases 15-75 (regular)
37,0.1,3.0,2.6,-0.6,Cases 15-75 (regular)
38,1.5,1.2,0.2,0.9,Cases 15-75 (regular)
39,2.1,0.0,1.2,-0.7,Cases 15-75 (regular)
40,0.5,2.0,1.2,-0.5,Cases 15-75 (regular)
41,3.4,1.6,2.9,-0.1,Cases 15-75 (regular)
42,0.3,1.0,2.7,-0.7,Cases 15-75 (regular)
43,0.1,3.3,0.9,0.6,Cases 15-75 (regular)
44,1.8,0.5,3.2,-0.7,Cases 15-75 (regular)
45,1.9,0.1,0.6,-0.5,Cases 15-75 (regular)
46,1.8,0.5,3.0,-0.4,Cases 15-75 (regular)
47,3.0,0.1,0.8,-0.9,Cases 15-75 (regular)
48,3.1,1.6,3.0,0.1,Cases 15-75 (regular)
49,3.1,2.5,1.9,0.9,Cases 15-75 (regular)
50,2.1,2.8,2.9,-0.4,Cases 15-75 (regular)
51,2.3,1.5,0.4,0.7,Cases 15-75 (regular)
52,3.3,0.6,1.2,-0.5,Cases 15-75 (regular)
53,0.3,0.4,3.3,0.7,Cases 15-75 (regular)
54,1.1,3.0,0.3,0.7,Cases 15-75 (regular)
55,0.5,2.4,0.9,0.0,Cases 15-75 (regular)
56,1.8,3.2,0.9,0.1,Cases 15-75 (regular)
57,1.8,0.7,0.7,0.7,Cases 15-75 (regular)
58,2.4,3.4,1.5,-0.1,Cases 15-75 (regular)
59,1.6,2.1,3.0,-0.3,Cases 15-75 (regular)
60,0.3,1.5,3.3,-0.9,Cases 15-75 (regular)
61,0.4,3.4,3.0,-0.3,Cases 15-75 (regular)
62,0.9,0.1,0.3,0.6,Cases 15-75 (regular)
63,1.1,2.7,0.2,-0.3,Cases 15-75 (regular)
64,2.8,3.0,2.9,-0.5,Cases 15-75 (regular)
65,2.0,0.7,2.7,0.6,Cases 15-75 (regular)
66,0.2,1.8,0.8,-0.9,Cases 15-75 (regular)
67,1.6,2.0,1.2,-0.7,Cases 15-75 (regular)
68,0.1,0.0,1.1,0.6,Cases 15-75 (regular)
69,2.0,0.6,0.3,0.2,Cases 15-75 (regular)
70,1.0,2.2,2.9,0.7,Cases 15-75 (regular)
71,2.2,2.5,2.3,0.2,Cases 15-75 (regular)
72,0.6,2.0,1.5,-0.2,Cases 15-75 (regular)
73,0.3,1.7,2.2,0.4,Cases 15-75 (regular)
74,0.0,2.2,1.6,-0.9,Cases 15-75 (regular)
75,0.3,0.4,2.6,0.2,Cases 15-75 (regular)
