ID,X1,X2,X3,y
1,0.5,-0.66,-0.32,9.37
2,0.75,-0.46,0.12,10.17
3,0.99,-1.4,-2.17,10.02
4,1.24,-0.32,-0.53,11.12
5,1.49,2.19,1.09,6.23
6,1.73,0.32,0.02,8.36
7,1.98,-0.03,-0.95,6.01
8,2.23,0.68,0.14,11.59
9,2.47,2.08,0.52,9.22
10,2.72,-1.03,-1.11,15.69
11,2.97,1.93,0.11,11.26
12,3.22,1.58,-0.04,7.2
13,3.46,0.95,-0.67,16.57
14,3.71,2.95,0.16,10.38
15,3.96,2.14,-0.21,10.74
16,4.2,1.27,-1.78,14.41
17,4.45,0.48,-3.25,10.35
18,4.7,4.56,-0.7,5.82
19,4.94,2.81,0.59,14.98
20,5.19,4.44,2.16,24.36
21,5.44,2.42,-1.33,11.39
22,5.68,3.05,-1.16,11.26
23,5.93,3.73,-1.14,11.11
24,6.18,2.86,0.39,20.63
25,6.42,4.01,-2.28,12.28
26,6.67,3.29,-0.16,14.23
27,6.92,3.81,0.5,24.79
28,7.16,5.5,-1.17,11.56
29,7.41,3.45,-2.19,17.89
30,7.66,4.83,0.93,18.64
31,7.91,3.24,-1.28,19.79
32,8.15,7.24,0.66,15.93
33,8.4,6.38,2.05,21.33
34,8.65,4.04,1.04,26.09
35,8.89,5.16,0.08,21.9
36,9.14,6.78,0.05,18.57
37,9.39,6.7,1.29,24.37
38,9.63,5.12,-0.91,20.08
39,9.88,6.12,-1.7,14.44
40,10.13,5.52,-1.58,18.56
41,10.37,4.81,1.16,34.2
42,10.62,6.39,-0.06,27.72
43,10.87,7.52,-1.59,20.31
44,11.11,7.45,0.39,26.15
45,11.36,6.92,1.93,27.18
46,11.61,7.11,1.82,31.45
47,11.85,8.47,-0.29,23.87
48,12.1,6.29,-0.04,27.06
49,12.35,7.72,0.36,31.97
50,12.59,5.68,-2.33,28.38
51,12.84,8.69,0.85,27.82
52,13.09,10.04,2.04,30.89
53,13.34,9.96,0.85,29.07
54,13.58,7.14,-1.29,28.26
55,13.83,8.67,0.07,27.57
56,14.08,10.6,-2.03,23.9
57,14.32,9.1,2.12,35.96
58,14.57,9.84,0.49,28.63
59,14.82,10.72,-1.4,22.71
60,15.06,9.42,-1.69,29.68
61,15.31,8.12,-0.1,37.1
62,15.56,9.2,-1.35,29.63
63,15.8,8.35,-1.4,33.34
64,16.05,9.11,-0.51,30.57
65,16.3,11.31,-0.5,32.34
66,16.54,10.73,0.95,31.29
67,16.79,10.53,0.39,36.22
68,17.04,12.43,0.82,33.97
69,17.28,10.64,-1.1,31.76
70,17.53,9.18,-0.83,39.29
71,17.78,12.03,-0.83,29.08
72,18.03,9.69,0.07,41.36
73,18.27,11.94,-1.37,32.54
74,18.52,11.96,-0.1,35.59
75,18.77,12.62,0.53,40.05
76,19.01,9.02,-1.95,38.34
77,19.26,9.85,-1.8,34.19
78,19.51,11.26,-0.59,39.18
79,19.75,12.79,1.47,43.25
80,20.0,11.29,-2.06,37.79
81,16.0,-8.0,10.0,124.4
82,16.8,-9.5,11.5,139.49
83,17.5,-11.0,13.0,154.3
84,18.2,-12.0,14.5,169.26
85,19.0,-13.5,16.0,185.35
86,17.0,16.0,-12.0,-38.0
87,18.0,17.5,-13.5,-50.05
88,19.0,19.0,-15.0,-62.1
89,19.5,20.5,-16.5,-76.55
90,20.0,22.0,-18.0,-93.0
