Dataset,Model,Term,Estimate,RobustStandardizedEstimate
Boston Housing,OLS,Intercept,41.61727018,
Boston Housing,OLS,CRIM,-0.1213886184,-0.05472058123
Boston Housing,OLS,ZN,0.0469634633,0.07361044404
Boston Housing,OLS,INDUS,0.01346769467,0.02180162234
Boston Housing,OLS,CHAS,2.839993383,0.3561120229
Boston Housing,OLS,NOX,-18.75802201,-0.4116180377
Boston Housing,OLS,RM,3.658119042,0.3385193546
Boston Housing,OLS,AGE,0.003610710547,0.02220756769
Boston Housing,OLS,DIS,-1.49075365,-0.5772814997
Boston Housing,OLS,RAD,0.2894045206,0.7257793621
Boston Housing,OLS,TAX,-0.01268198126,-0.6154140122
Boston Housing,OLS,PTRATIO,-0.9375328998,-0.3291651561
Boston Housing,OLS,LSTAT,-0.5520191012,-0.6925330542
Boston Housing,LAD,Intercept,26.14277067,
Boston Housing,LAD,CRIM,-0.1270149536,-0.05725686786
Boston Housing,LAD,ZN,0.04062706921,0.06367879187
Boston Housing,LAD,INDUS,0.009750385506,0.01578400964
Boston Housing,LAD,CHAS,1.403088833,0.1759359038
Boston Housing,LAD,NOX,-11.95926199,-0.2624289464
Boston Housing,LAD,RM,4.698278749,0.4347748861
Boston Housing,LAD,AGE,-0.01890873346,-0.116297602
Boston Housing,LAD,DIS,-1.058674147,-0.4099624371
Boston Housing,LAD,RAD,0.1700936416,0.4265671262
Boston Housing,LAD,TAX,-0.01107592175,-0.5374773313
Boston Housing,LAD,PTRATIO,-0.8043095959,-0.2823908299
Boston Housing,LAD,LSTAT,-0.3552466129,-0.4456730234
Concrete Strength,OLS,Intercept,-23.16375581,
Concrete Strength,OLS,Cement,0.119785255,0.8418122319
Concrete Strength,OLS,BlastFurnaceSlag,0.1038472489,0.6618596814
Concrete Strength,OLS,FlyAsh,0.08794308168,0.4637277093
Concrete Strength,OLS,Water,-0.1502979043,-0.1815971325
Concrete Strength,OLS,Superplasticizer,0.2906869435,0.1316758116
Concrete Strength,OLS,CoarseAggregate,0.0180301836,0.07829713599
Concrete Strength,OLS,FineAggregate,0.02015445567,0.08361307996
Concrete Strength,OLS,Age,0.1142256201,0.2495435648
Concrete Strength,LAD,Intercept,-68.41352687,
Concrete Strength,LAD,Cement,0.1431923673,1.006309886
Concrete Strength,LAD,BlastFurnaceSlag,0.1244085657,0.792905104
Concrete Strength,LAD,FlyAsh,0.11552784,0.6091833442
Concrete Strength,LAD,Water,-0.1028286725,-0.1242425311
Concrete Strength,LAD,Superplasticizer,0.1619470991,0.07335904205
Concrete Strength,LAD,CoarseAggregate,0.02799674638,0.1215775229
Concrete Strength,LAD,FineAggregate,0.04243319866,0.1760390104
Concrete Strength,LAD,Age,0.1549887381,0.3385969118
Hawkins-Bradu-Kass (HBK),OLS,Intercept,-0.3875495459,
Hawkins-Bradu-Kass (HBK),OLS,X1,0.2391847917,0.4679702446
Hawkins-Bradu-Kass (HBK),OLS,X2,-0.3345484768,-0.6254601958
Hawkins-Bradu-Kass (HBK),OLS,X3,0.3833408152,0.7000136626
Hawkins-Bradu-Kass (HBK),LAD,Intercept,-0.8814744772,
Hawkins-Bradu-Kass (HBK),LAD,X1,0.09131167951,0.178653286
Hawkins-Bradu-Kass (HBK),LAD,X2,0.1547602162,0.2893343173
Hawkins-Bradu-Kass (HBK),LAD,X3,0.2146470616,0.3919641995
Synthetic OLS-LAD,OLS,Intercept,7.206171843,
Synthetic OLS-LAD,OLS,X1,3.21727347,1.697171042
Synthetic OLS-LAD,OLS,X2,-2.618801203,-0.8982423781
Synthetic OLS-LAD,OLS,X3,5.08287695,0.4795638204
Synthetic OLS-LAD,LAD,Intercept,5.442797288,
Synthetic OLS-LAD,LAD,X1,3.465511222,1.828121031
Synthetic OLS-LAD,LAD,X2,-2.775185751,-0.951881894
Synthetic OLS-LAD,LAD,X3,4.651218583,0.4388373307
