RecordID,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV,LeverageDistance,LeverageCutoff,LeverageFlag,MedianRegressionPrediction,MedianRegressionResidual,ResidualRobustZ,ResidualZCutoff,ResponseOutlierFlag,OutlierClass
1,0.006320,18.000000,2.310000,0,0.538000,6.575000,65.200000,4.090000,1,296,15.300000,396.900000,4.980000,24.000000,4.197838,4.830804,False,28.606608,-4.606608,1.487646,3.500000,False,Regular
2,0.027310,0.000000,7.070000,0,0.469000,6.421000,78.900000,4.967100,2,242,17.800000,396.900000,9.140000,21.600000,2.370487,4.830804,False,24.112701,-2.512701,0.811445,3.500000,False,Regular
3,0.027290,0.000000,7.070000,0,0.469000,7.185000,61.100000,4.967100,2,242,17.800000,392.830000,4.030000,34.700000,2.623878,4.830804,False,29.854074,4.845926,1.564930,3.500000,False,Regular
4,0.032370,0.000000,2.180000,0,0.458000,6.998000,45.800000,6.062200,3,222,18.700000,394.630000,2.940000,33.400000,3.069657,4.830804,False,28.243625,5.156375,1.665186,3.500000,False,Regular
5,0.069050,0.000000,2.180000,0,0.458000,7.147000,54.200000,6.062200,3,222,18.700000,396.900000,5.330000,36.200000,3.094968,4.830804,False,27.931137,8.268863,2.670325,3.500000,False,Regular
6,0.029850,0.000000,2.180000,0,0.458000,6.430000,58.700000,6.062200,3,222,18.700000,394.120000,5.210000,28.700000,2.892404,4.830804,False,24.524990,4.175010,1.348266,3.500000,False,Regular
7,0.088290,12.500000,7.870000,0,0.524000,6.012000,66.600000,5.560500,5,311,15.200000,395.600000,12.430000,22.900000,3.524569,4.830804,False,22.314085,0.585915,0.189214,3.500000,False,Regular
8,0.144550,12.500000,7.870000,0,0.524000,6.172000,96.100000,5.950500,5,311,15.200000,396.900000,19.150000,27.100000,4.625724,4.830804,False,19.700716,7.399284,2.389505,3.500000,False,Regular
9,0.211240,12.500000,7.870000,0,0.524000,5.631000,100.000000,6.082100,5,311,15.200000,386.630000,29.930000,16.500000,6.297837,4.830804,True,13.107852,3.392148,1.095451,3.500000,False,Leverage only
10,0.170040,12.500000,7.870000,0,0.524000,6.004000,85.900000,6.592100,5,311,15.200000,386.710000,17.100000,18.900000,4.662985,4.830804,False,19.150047,-0.250047,0.080749,3.500000,False,Regular
11,0.224890,12.500000,7.870000,0,0.524000,6.377000,94.300000,6.346700,5,311,15.200000,392.520000,20.450000,15.000000,5.025087,4.830804,True,19.806427,-4.806427,1.552175,3.500000,False,Leverage only
12,0.117470,12.500000,7.870000,0,0.524000,6.009000,82.900000,6.226700,5,311,15.200000,396.900000,13.270000,18.900000,4.288589,4.830804,False,20.984376,-2.084376,0.673123,3.500000,False,Regular
13,0.093780,12.500000,7.870000,0,0.524000,5.889000,39.000000,5.450900,5,311,15.200000,390.500000,15.710000,21.700000,3.828972,4.830804,False,21.208202,0.491798,0.158820,3.500000,False,Regular
14,0.629760,0.000000,8.140000,0,0.538000,5.949000,61.800000,4.707500,4,307,21.000000,396.900000,8.260000,20.400000,2.632042,4.830804,False,18.961087,1.438913,0.464679,3.500000,False,Regular
15,0.637960,0.000000,8.140000,0,0.538000,6.096000,84.500000,4.461900,4,307,21.000000,380.020000,10.260000,18.200000,2.496847,4.830804,False,18.770981,-0.570981,0.184391,3.500000,False,Regular
16,0.627390,0.000000,8.140000,0,0.538000,5.834000,56.500000,4.498600,4,307,21.000000,395.620000,8.470000,19.900000,2.616071,4.830804,False,18.667857,1.232143,0.397905,3.500000,False,Regular
17,1.053930,0.000000,8.140000,0,0.538000,5.935000,29.300000,4.498600,4,307,21.000000,386.850000,6.580000,23.100000,3.384810,4.830804,False,20.273940,2.826060,0.912640,3.500000,False,Regular
18,0.784200,0.000000,8.140000,0,0.538000,5.990000,81.700000,4.257900,4,307,21.000000,386.750000,14.670000,17.500000,2.143877,4.830804,False,16.956666,0.543334,0.175463,3.500000,False,Regular
19,0.802710,0.000000,8.140000,0,0.538000,5.456000,36.600000,3.796500,4,307,21.000000,288.990000,11.690000,20.200000,3.134838,4.830804,False,16.845325,3.354675,1.083350,3.500000,False,Regular
20,0.725800,0.000000,8.140000,0,0.538000,5.727000,69.500000,3.796500,4,307,21.000000,390.950000,11.280000,18.200000,2.260342,4.830804,False,17.651881,0.548119,0.177008,3.500000,False,Regular
21,1.251790,0.000000,8.140000,0,0.538000,5.570000,98.100000,3.797900,4,307,21.000000,376.570000,21.020000,13.600000,2.946077,4.830804,False,12.845068,0.754932,0.243796,3.500000,False,Regular
22,0.852040,0.000000,8.140000,0,0.538000,5.965000,89.200000,4.012300,4,307,21.000000,392.530000,13.830000,19.600000,2.229336,4.830804,False,17.247194,2.352806,0.759809,3.500000,False,Regular
23,1.232470,0.000000,8.140000,0,0.538000,6.142000,91.700000,3.976900,4,307,21.000000,396.900000,18.720000,15.200000,2.677184,4.830804,False,16.283518,-1.083518,0.349908,3.500000,False,Regular
