RecordID,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV,RobustDistance,DistanceCutoff,OutlierFlag,OutlierStatus
1,0.006320,18.000000,2.310000,0,0.538000,6.575000,65.200000,4.090000,1,296,15.300000,396.900000,4.980000,24.000000,4.263980,4.973490,False,Inlier
2,0.027310,0.000000,7.070000,0,0.469000,6.421000,78.900000,4.967100,2,242,17.800000,396.900000,9.140000,21.600000,2.562029,4.973490,False,Inlier
3,0.027290,0.000000,7.070000,0,0.469000,7.185000,61.100000,4.967100,2,242,17.800000,392.830000,4.030000,34.700000,3.076372,4.973490,False,Inlier
4,0.032370,0.000000,2.180000,0,0.458000,6.998000,45.800000,6.062200,3,222,18.700000,394.630000,2.940000,33.400000,3.132601,4.973490,False,Inlier
5,0.069050,0.000000,2.180000,0,0.458000,7.147000,54.200000,6.062200,3,222,18.700000,396.900000,5.330000,36.200000,3.732797,4.973490,False,Inlier
6,0.029850,0.000000,2.180000,0,0.458000,6.430000,58.700000,6.062200,3,222,18.700000,394.120000,5.210000,28.700000,2.873656,4.973490,False,Inlier
7,0.088290,12.500000,7.870000,0,0.524000,6.012000,66.600000,5.560500,5,311,15.200000,395.600000,12.430000,22.900000,3.678632,4.973490,False,Inlier
8,0.144550,12.500000,7.870000,0,0.524000,6.172000,96.100000,5.950500,5,311,15.200000,396.900000,19.150000,27.100000,5.624479,4.973490,True,Outlier
9,0.211240,12.500000,7.870000,0,0.524000,5.631000,100.000000,6.082100,5,311,15.200000,386.630000,29.930000,16.500000,6.839617,4.973490,True,Outlier
10,0.170040,12.500000,7.870000,0,0.524000,6.004000,85.900000,6.592100,5,311,15.200000,386.710000,17.100000,18.900000,4.743801,4.973490,False,Inlier
11,0.224890,12.500000,7.870000,0,0.524000,6.377000,94.300000,6.346700,5,311,15.200000,392.520000,20.450000,15.000000,5.364078,4.973490,True,Outlier
12,0.117470,12.500000,7.870000,0,0.524000,6.009000,82.900000,6.226700,5,311,15.200000,396.900000,13.270000,18.900000,4.387133,4.973490,False,Inlier
13,0.093780,12.500000,7.870000,0,0.524000,5.889000,39.000000,5.450900,5,311,15.200000,390.500000,15.710000,21.700000,3.971780,4.973490,False,Inlier
14,0.629760,0.000000,8.140000,0,0.538000,5.949000,61.800000,4.707500,4,307,21.000000,396.900000,8.260000,20.400000,2.614437,4.973490,False,Inlier
15,0.637960,0.000000,8.140000,0,0.538000,6.096000,84.500000,4.461900,4,307,21.000000,380.020000,10.260000,18.200000,2.492650,4.973490,False,Inlier
16,0.627390,0.000000,8.140000,0,0.538000,5.834000,56.500000,4.498600,4,307,21.000000,395.620000,8.470000,19.900000,2.640316,4.973490,False,Inlier
17,1.053930,0.000000,8.140000,0,0.538000,5.935000,29.300000,4.498600,4,307,21.000000,386.850000,6.580000,23.100000,3.454666,4.973490,False,Inlier
18,0.784200,0.000000,8.140000,0,0.538000,5.990000,81.700000,4.257900,4,307,21.000000,386.750000,14.670000,17.500000,2.101219,4.973490,False,Inlier
19,0.802710,0.000000,8.140000,0,0.538000,5.456000,36.600000,3.796500,4,307,21.000000,288.990000,11.690000,20.200000,3.366572,4.973490,False,Inlier
20,0.725800,0.000000,8.140000,0,0.538000,5.727000,69.500000,3.796500,4,307,21.000000,390.950000,11.280000,18.200000,2.333157,4.973490,False,Inlier
21,1.251790,0.000000,8.140000,0,0.538000,5.570000,98.100000,3.797900,4,307,21.000000,376.570000,21.020000,13.600000,3.031665,4.973490,False,Inlier
22,0.852040,0.000000,8.140000,0,0.538000,5.965000,89.200000,4.012300,4,307,21.000000,392.530000,13.830000,19.600000,2.320961,4.973490,False,Inlier
23,1.232470,0.000000,8.140000,0,0.538000,6.142000,91.700000,3.976900,4,307,21.000000,396.900000,18.720000,15.200000,2.762675,4.973490,False,Inlier
24,0.988430,0.000000,8.140000,0,0.538000,5.813000,100.000000,4.095200,4,307,21.000000,394.540000,19.880000,14.500000,2.898349,4.973490,False,Inlier
25,0.750260,0.000000,8.140000,0,0.538000,5.924000,94.100000,4.399600,4,307,21.000000,394.330000,16.300000,15.600000,2.473482,4.973490,False,Inlier
26,0.840540,0.000000,8.140000,0,0.538000,5.599000,85.700000,4.454600,4,307,21.000000,303.420000,16.510000,13.900000,2.476052,4.973490,False,Inlier
27,0.671910,0.000000,8.140000,0,0.538000,5.813000,90.300000,4.682000,4,307,21.000000,376.880000,14.810000,16.600000,2.510203,4.973490,False,Inlier
28,0.955770,0.000000,8.140000,0,0.538000,6.047000,88.800000,4.453400,4,307,21.000000,306.380000,17.280000,14.800000,2.543843,4.973490,False,Inlier
29,0.772990,0.000000,8.140000,0,0.538000,6.495000,94.400000,4.454700,4,307,21.000000,387.940000,12.800000,18.400000,2.628705,4.973490,False,Inlier
30,1.002450,0.000000,8.140000,0,0.538000,6.674000,87.300000,4.239000,4,307,21.000000,380.230000,11.980000,21.000000,2.507467,4.973490,False,Inlier
31,1.130810,0.000000,8.140000,0,0.538000,5.713000,94.100000,4.233000,4,307,21.000000,360.170000,22.600000,12.700000,3.325030,4.973490,False,Inlier
32,1.354720,0.000000,8.140000,0,0.538000,6.072000,100.000000,4.175000,4,307,21.000000,376.730000,13.040000,14.500000,2.912897,4.973490,False,Inlier
33,1.387990,0.000000,8.140000,0,0.538000,5.950000,82.000000,3.990000,4,307,21.000000,232.600000,27.710000,13.200000,5.089571,4.973490,True,Outlier
34,1.151720,0.000000,8.140000,0,0.538000,5.701000,95.000000,3.787200,4,307,21.000000,358.770000,18.350000,13.100000,2.647371,4.973490,False,Inlier
35,1.612820,0.000000,8.140000,0,0.538000,6.096000,96.900000,3.759800,4,307,21.000000,248.310000,20.340000,13.500000,3.098917,4.973490,False,Inlier
36,0.064170,0.000000,5.960000,0,0.499000,5.933000,68.200000,3.360300,5,279,19.200000,396.900000,9.680000,18.900000,2.461947,4.973490,False,Inlier
37,0.097440,0.000000,5.960000,0,0.499000,5.841000,61.400000,3.377900,5,279,19.200000,377.560000,11.410000,20.000000,2.139370,4.973490,False,Inlier
38,0.080140,0.000000,5.960000,0,0.499000,5.850000,41.500000,3.934200,5,279,19.200000,396.900000,8.770000,21.000000,2.274957,4.973490,False,Inlier
39,0.175050,0.000000,5.960000,0,0.499000,5.966000,30.200000,3.847300,5,279,19.200000,393.430000,10.130000,24.700000,2.639009,4.973490,False,Inlier
40,0.027630,75.000000,2.950000,0,0.428000,6.595000,21.800000,5.401100,3,252,18.300000,395.630000,4.320000,30.800000,5.644503,4.973490,True,Outlier
41,0.033590,75.000000,2.950000,0,0.428000,7.024000,15.800000,5.401100,3,252,18.300000,395.620000,1.980000,34.900000,5.864934,4.973490,True,Outlier
