RecordID,Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,Strength,LeverageDistance,LeverageCutoff,LeverageFlag,MedianRegressionPrediction,MedianRegressionResidual,ResidualRobustZ,ResidualZCutoff,ResponseOutlierFlag,OutlierClass
1,540.000000,0.000000,0.000000,162.000000,2.500000,1040.000000,676.000000,28,79.986111,4.605134,4.187427,True,54.798117,25.187993,2.808789,3.500000,False,Leverage only
2,540.000000,0.000000,0.000000,162.000000,2.500000,1055.000000,676.000000,28,61.887366,4.492623,4.187427,True,55.218069,6.669297,0.743714,3.500000,False,Leverage only
3,332.500000,142.500000,0.000000,228.000000,0.000000,932.000000,594.000000,270,40.269535,9.500998,4.187427,True,66.626465,-26.356930,2.939141,3.500000,False,Leverage only
4,332.500000,142.500000,0.000000,228.000000,0.000000,932.000000,594.000000,365,41.052780,12.614314,4.187427,True,81.350396,-40.297616,4.493709,3.500000,True,Leverage + response
5,198.600000,132.400000,0.000000,192.000000,0.000000,978.400000,825.500000,360,44.296075,11.660505,4.187427,True,74.969634,-30.673559,3.420502,3.500000,False,Leverage only
6,266.000000,114.000000,0.000000,228.000000,0.000000,932.000000,670.000000,90,47.029847,4.155755,4.187427,False,28.885479,18.144368,2.023334,3.500000,False,Regular
7,380.000000,95.000000,0.000000,228.000000,0.000000,932.000000,594.000000,365,43.698299,12.720472,4.187427,True,82.242626,-38.544327,4.298195,3.500000,True,Leverage + response
8,380.000000,95.000000,0.000000,228.000000,0.000000,932.000000,594.000000,28,36.447770,4.147426,4.187427,False,30.011421,6.436348,0.717737,3.500000,False,Regular
9,266.000000,114.000000,0.000000,228.000000,0.000000,932.000000,670.000000,28,45.854291,3.478507,4.187427,False,19.276177,26.578113,2.963806,3.500000,False,Regular
10,475.000000,0.000000,0.000000,228.000000,0.000000,932.000000,594.000000,28,39.289790,4.966443,4.187427,True,31.795883,7.493907,0.835668,3.500000,False,Leverage only
11,198.600000,132.400000,0.000000,192.000000,0.000000,978.400000,825.500000,90,38.074244,2.732182,4.187427,False,33.122675,4.951569,0.552164,3.500000,False,Regular
12,198.600000,132.400000,0.000000,192.000000,0.000000,978.400000,825.500000,28,28.021684,1.806861,4.187427,False,23.513373,4.508310,0.502735,3.500000,False,Regular
13,427.500000,47.500000,0.000000,228.000000,0.000000,932.000000,594.000000,270,43.012960,9.818786,4.187427,True,68.410927,-25.397966,2.832204,3.500000,False,Leverage only
14,190.000000,190.000000,0.000000,228.000000,0.000000,932.000000,670.000000,90,42.326932,4.104792,4.187427,False,27.457910,14.869021,1.658090,3.500000,False,Regular
15,304.000000,76.000000,0.000000,228.000000,0.000000,932.000000,670.000000,28,47.813782,3.645741,4.187427,False,19.989962,27.823820,3.102718,3.500000,False,Regular
16,380.000000,0.000000,0.000000,228.000000,0.000000,932.000000,670.000000,90,52.908320,4.824383,4.187427,True,31.026833,21.881487,2.440071,3.500000,False,Leverage only
17,139.600000,209.400000,0.000000,192.000000,0.000000,1047.000000,806.900000,90,39.358048,4.149017,4.187427,False,35.385104,3.972944,0.443035,3.500000,False,Regular
18,342.000000,38.000000,0.000000,228.000000,0.000000,932.000000,670.000000,365,56.141962,12.580295,4.187427,True,72.934951,-16.792989,1.872637,3.500000,False,Leverage only
19,380.000000,95.000000,0.000000,228.000000,0.000000,932.000000,594.000000,90,40.563252,4.779427,4.187427,True,39.620723,0.942529,0.105104,3.500000,False,Leverage only
20,475.000000,0.000000,0.000000,228.000000,0.000000,932.000000,594.000000,180,42.620648,7.475996,4.187427,True,55.354171,-12.733522,1.419954,3.500000,False,Leverage only
21,427.500000,47.500000,0.000000,228.000000,0.000000,932.000000,594.000000,180,41.836714,7.163214,4.187427,True,54.461940,-12.625226,1.407877,3.500000,False,Leverage only
22,139.600000,209.400000,0.000000,192.000000,0.000000,1047.000000,806.900000,28,28.237490,3.742593,4.187427,False,25.775802,2.461687,0.274510,3.500000,False,Regular
23,139.600000,209.400000,0.000000,192.000000,0.000000,1047.000000,806.900000,3,8.063422,3.922738,4.187427,False,21.901084,-13.837662,1.543080,3.500000,False,Regular
24,139.600000,209.400000,0.000000,192.000000,0.000000,1047.000000,806.900000,180,44.207822,6.220100,4.187427,True,49.334090,-5.126268,0.571646,3.500000,False,Leverage only
25,380.000000,0.000000,0.000000,228.000000,0.000000,932.000000,670.000000,365,52.516697,12.704215,4.187427,True,73.648736,-21.132038,2.356498,3.500000,False,Leverage only
26,380.000000,0.000000,0.000000,228.000000,0.000000,932.000000,670.000000,270,53.300632,9.625887,4.187427,True,58.924805,-5.624174,0.627169,3.500000,False,Leverage only
27,380.000000,95.000000,0.000000,228.000000,0.000000,932.000000,594.000000,270,41.151375,9.632190,4.187427,True,67.518696,-26.367321,2.940300,3.500000,False,Leverage only
28,342.000000,38.000000,0.000000,228.000000,0.000000,932.000000,670.000000,180,52.124386,6.719634,4.187427,True,44.262035,7.862351,0.876755,3.500000,False,Leverage only
29,427.500000,47.500000,0.000000,228.000000,0.000000,932.000000,594.000000,28,37.427515,4.513720,4.187427,True,30.903652,6.523863,0.727496,3.500000,False,Leverage only
30,475.000000,0.000000,0.000000,228.000000,0.000000,932.000000,594.000000,7,38.603761,4.981800,4.187427,True,28.541119,10.062642,1.122116,3.500000,False,Leverage only
31,304.000000,76.000000,0.000000,228.000000,0.000000,932.000000,670.000000,365,55.260122,12.483869,4.187427,True,72.221167,-16.961044,1.891377,3.500000,False,Leverage only
32,266.000000,114.000000,0.000000,228.000000,0.000000,932.000000,670.000000,365,52.908320,12.415575,4.187427,True,71.507382,-18.599062,2.074038,3.500000,False,Leverage only
33,198.600000,132.400000,0.000000,192.000000,0.000000,978.400000,825.500000,180,41.719503,5.511913,4.187427,True,47.071661,-5.352158,0.596835,3.500000,False,Leverage only
34,475.000000,0.000000,0.000000,228.000000,0.000000,932.000000,594.000000,270,42.131120,10.057703,4.187427,True,69.303157,-27.172037,3.030036,3.500000,False,Leverage only
35,190.000000,190.000000,0.000000,228.000000,0.000000,932.000000,670.000000,365,53.692254,12.365060,4.187427,True,70.079813,-16.387559,1.827426,3.500000,False,Leverage only
36,237.500000,237.500000,0.000000,228.000000,0.000000,932.000000,594.000000,270,38.407950,9.413118,4.187427,True,64.842004,-26.434054,2.947742,3.500000,False,Leverage only
37,237.500000,237.500000,0.000000,228.000000,0.000000,932.000000,594.000000,28,30.079769,3.794690,4.187427,False,27.334730,2.745040,0.306108,3.500000,False,Regular
38,332.500000,142.500000,0.000000,228.000000,0.000000,932.000000,594.000000,90,37.721921,4.546722,4.187427,True,38.728493,-1.006571,0.112246,3.500000,False,Leverage only
39,475.000000,0.000000,0.000000,228.000000,0.000000,932.000000,594.000000,90,42.229026,5.526434,4.187427,True,41.405184,0.823842,0.091869,3.500000,False,Leverage only
40,237.500000,237.500000,0.000000,228.000000,0.000000,932.000000,594.000000,180,36.251959,6.647526,4.187427,True,50.893018,-14.641059,1.632669,3.500000,False,Leverage only
41,342.000000,38.000000,0.000000,228.000000,0.000000,932.000000,670.000000,90,50.459301,4.533964,4.187427,True,30.313048,20.146253,2.246570,3.500000,False,Leverage only
42,427.500000,47.500000,0.000000,228.000000,0.000000,932.000000,594.000000,365,43.698299,12.869315,4.187427,True,83.134857,-39.436557,4.397690,3.500000,True,Leverage + response
43,237.500000,237.500000,0.000000,228.000000,0.000000,932.000000,594.000000,365,38.995384,12.533952,4.187427,True,79.565934,-40.570551,4.524145,3.500000,True,Leverage + response
44,380.000000,0.000000,0.000000,228.000000,0.000000,932.000000,670.000000,180,53.104131,6.928728,4.187427,True,44.975819,8.128312,0.906413,3.500000,False,Leverage only
45,427.500000,47.500000,0.000000,228.000000,0.000000,932.000000,594.000000,90,41.542997,5.111998,4.187427,True,40.512954,1.030044,0.114863,3.500000,False,Leverage only
46,427.500000,47.500000,0.000000,228.000000,0.000000,932.000000,594.000000,7,35.076402,4.534987,4.187427,True,27.648889,7.427514,0.828265,3.500000,False,Leverage only
47,349.000000,0.000000,0.000000,192.000000,0.000000,1047.000000,806.900000,3,15.049193,2.863450,4.187427,False,25.834412,-10.785219,1.202692,3.500000,False,Regular
48,380.000000,95.000000,0.000000,228.000000,0.000000,932.000000,594.000000,180,40.759063,6.917521,4.187427,True,53.569710,-12.810646,1.428554,3.500000,False,Leverage only
49,237.500000,237.500000,0.000000,228.000000,0.000000,932.000000,594.000000,7,26.258004,3.840666,4.187427,False,24.079966,2.178038,0.242880,3.500000,False,Regular
50,380.000000,95.000000,0.000000,228.000000,0.000000,932.000000,594.000000,7,32.823194,4.175312,4.187427,False,26.756658,6.066537,0.676498,3.500000,False,Regular
51,332.500000,142.500000,0.000000,228.000000,0.000000,932.000000,594.000000,180,39.779318,6.746252,4.187427,True,52.677479,-12.898161,1.438313,3.500000,False,Leverage only
52,190.000000,190.000000,0.000000,228.000000,0.000000,932.000000,670.000000,180,46.931942,6.395481,4.187427,True,41.406897,5.525045,0.616115,3.500000,False,Leverage only
