RecordID,Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,Strength,RobustDistance,DistanceCutoff,OutlierFlag,OutlierStatus
1,540.000000,0.000000,0.000000,162.000000,2.500000,1040.000000,676.000000,28,79.986111,5.625821,4.361510,True,Outlier
2,540.000000,0.000000,0.000000,162.000000,2.500000,1055.000000,676.000000,28,61.887366,4.459262,4.361510,True,Outlier
3,332.500000,142.500000,0.000000,228.000000,0.000000,932.000000,594.000000,270,40.269535,13.331359,4.361510,True,Outlier
4,332.500000,142.500000,0.000000,228.000000,0.000000,932.000000,594.000000,365,41.052780,18.450806,4.361510,True,Outlier
5,198.600000,132.400000,0.000000,192.000000,0.000000,978.400000,825.500000,360,44.296075,16.410336,4.361510,True,Outlier
6,266.000000,114.000000,0.000000,228.000000,0.000000,932.000000,670.000000,90,47.029847,3.995314,4.361510,False,Inlier
7,380.000000,95.000000,0.000000,228.000000,0.000000,932.000000,594.000000,365,43.698299,18.363419,4.361510,True,Outlier
8,380.000000,95.000000,0.000000,228.000000,0.000000,932.000000,594.000000,28,36.447770,3.872963,4.361510,False,Inlier
9,266.000000,114.000000,0.000000,228.000000,0.000000,932.000000,670.000000,28,45.854291,4.615995,4.361510,True,Outlier
10,475.000000,0.000000,0.000000,228.000000,0.000000,932.000000,594.000000,28,39.289790,4.667372,4.361510,True,Outlier
11,198.600000,132.400000,0.000000,192.000000,0.000000,978.400000,825.500000,90,38.074244,2.765850,4.361510,False,Inlier
12,198.600000,132.400000,0.000000,192.000000,0.000000,978.400000,825.500000,28,28.021684,1.967947,4.361510,False,Inlier
13,427.500000,47.500000,0.000000,228.000000,0.000000,932.000000,594.000000,270,43.012960,13.489902,4.361510,True,Outlier
14,190.000000,190.000000,0.000000,228.000000,0.000000,932.000000,670.000000,90,42.326932,3.922035,4.361510,False,Inlier
15,304.000000,76.000000,0.000000,228.000000,0.000000,932.000000,670.000000,28,47.813782,4.827386,4.361510,True,Outlier
16,380.000000,0.000000,0.000000,228.000000,0.000000,932.000000,670.000000,90,52.908320,4.713961,4.361510,True,Outlier
17,139.600000,209.400000,0.000000,192.000000,0.000000,1047.000000,806.900000,90,39.358048,4.109899,4.361510,False,Inlier
18,342.000000,38.000000,0.000000,228.000000,0.000000,932.000000,670.000000,365,56.141962,16.224174,4.361510,True,Outlier
19,380.000000,95.000000,0.000000,228.000000,0.000000,932.000000,594.000000,90,40.563252,4.803628,4.361510,True,Outlier
20,475.000000,0.000000,0.000000,228.000000,0.000000,932.000000,594.000000,180,42.620648,9.195154,4.361510,True,Outlier
21,427.500000,47.500000,0.000000,228.000000,0.000000,932.000000,594.000000,180,41.836714,8.933853,4.361510,True,Outlier
22,139.600000,209.400000,0.000000,192.000000,0.000000,1047.000000,806.900000,28,28.237490,3.799485,4.361510,False,Inlier
23,139.600000,209.400000,0.000000,192.000000,0.000000,1047.000000,806.900000,3,8.063422,3.989137,4.361510,False,Inlier
24,139.600000,209.400000,0.000000,192.000000,0.000000,1047.000000,806.900000,180,44.207822,7.159958,4.361510,True,Outlier
25,380.000000,0.000000,0.000000,228.000000,0.000000,932.000000,670.000000,365,52.516697,16.715868,4.361510,True,Outlier
26,380.000000,0.000000,0.000000,228.000000,0.000000,932.000000,670.000000,270,53.300632,11.612340,4.361510,True,Outlier
27,380.000000,95.000000,0.000000,228.000000,0.000000,932.000000,594.000000,270,41.151375,13.438391,4.361510,True,Outlier
28,342.000000,38.000000,0.000000,228.000000,0.000000,932.000000,670.000000,180,52.124386,7.105217,4.361510,True,Outlier
29,427.500000,47.500000,0.000000,228.000000,0.000000,932.000000,594.000000,28,37.427515,4.217757,4.361510,False,Inlier
30,475.000000,0.000000,0.000000,228.000000,0.000000,932.000000,594.000000,7,38.603761,4.859364,4.361510,True,Outlier
31,304.000000,76.000000,0.000000,228.000000,0.000000,932.000000,670.000000,365,55.260122,16.153096,4.361510,True,Outlier
32,266.000000,114.000000,0.000000,228.000000,0.000000,932.000000,670.000000,365,52.908320,16.233675,4.361510,True,Outlier
33,198.600000,132.400000,0.000000,192.000000,0.000000,978.400000,825.500000,180,41.719503,6.789894,4.361510,True,Outlier
34,475.000000,0.000000,0.000000,228.000000,0.000000,932.000000,594.000000,270,42.131120,13.844078,4.361510,True,Outlier
35,190.000000,190.000000,0.000000,228.000000,0.000000,932.000000,670.000000,365,53.692254,15.972992,4.361510,True,Outlier
36,237.500000,237.500000,0.000000,228.000000,0.000000,932.000000,594.000000,270,38.407950,13.247749,4.361510,True,Outlier
37,237.500000,237.500000,0.000000,228.000000,0.000000,932.000000,594.000000,28,30.079769,3.584984,4.361510,False,Inlier
38,332.500000,142.500000,0.000000,228.000000,0.000000,932.000000,594.000000,90,37.721921,4.697905,4.361510,True,Outlier
39,475.000000,0.000000,0.000000,228.000000,0.000000,932.000000,594.000000,90,42.229026,5.505462,4.361510,True,Outlier
40,237.500000,237.500000,0.000000,228.000000,0.000000,932.000000,594.000000,180,36.251959,8.690035,4.361510,True,Outlier
41,342.000000,38.000000,0.000000,228.000000,0.000000,932.000000,670.000000,90,50.459301,4.388332,4.361510,True,Outlier
42,427.500000,47.500000,0.000000,228.000000,0.000000,932.000000,594.000000,365,43.698299,18.571153,4.361510,True,Outlier
43,237.500000,237.500000,0.000000,228.000000,0.000000,932.000000,594.000000,365,38.995384,18.387792,4.361510,True,Outlier
44,380.000000,0.000000,0.000000,228.000000,0.000000,932.000000,670.000000,180,53.104131,7.284217,4.361510,True,Outlier
45,427.500000,47.500000,0.000000,228.000000,0.000000,932.000000,594.000000,90,41.542997,5.106922,4.361510,True,Outlier
46,427.500000,47.500000,0.000000,228.000000,0.000000,932.000000,594.000000,7,35.076402,4.353851,4.361510,False,Inlier
47,349.000000,0.000000,0.000000,192.000000,0.000000,1047.000000,806.900000,3,15.049193,2.878787,4.361510,False,Inlier
48,380.000000,95.000000,0.000000,228.000000,0.000000,932.000000,594.000000,180,40.759063,8.753067,4.361510,True,Outlier
49,237.500000,237.500000,0.000000,228.000000,0.000000,932.000000,594.000000,7,26.258004,3.675152,4.361510,False,Inlier
50,380.000000,95.000000,0.000000,228.000000,0.000000,932.000000,594.000000,7,32.823194,3.986110,4.361510,False,Inlier
51,332.500000,142.500000,0.000000,228.000000,0.000000,932.000000,594.000000,180,39.779318,8.622639,4.361510,True,Outlier
52,190.000000,190.000000,0.000000,228.000000,0.000000,932.000000,670.000000,180,46.931942,6.936601,4.361510,True,Outlier
53,237.500000,237.500000,0.000000,228.000000,0.000000,932.000000,594.000000,90,33.116911,4.791943,4.361510,True,Outlier
54,304.000000,76.000000,0.000000,228.000000,0.000000,932.000000,670.000000,90,49.185149,4.166874,4.361510,False,Inlier
55,139.600000,209.400000,0.000000,192.000000,0.000000,1047.000000,806.900000,7,14.589312,3.854839,4.361510,False,Inlier
56,198.600000,132.400000,0.000000,192.000000,0.000000,978.400000,825.500000,7,14.638265,1.989365,4.361510,False,Inlier
57,475.000000,0.000000,0.000000,228.000000,0.000000,932.000000,594.000000,365,41.934620,18.984048,4.361510,True,Outlier
58,198.600000,132.400000,0.000000,192.000000,0.000000,978.400000,825.500000,3,9.131420,2.169536,4.361510,False,Inlier
59,304.000000,76.000000,0.000000,228.000000,0.000000,932.000000,670.000000,180,50.948829,6.982108,4.361510,True,Outlier
60,332.500000,142.500000,0.000000,228.000000,0.000000,932.000000,594.000000,28,33.019006,3.615799,4.361510,False,Inlier
61,304.000000,76.000000,0.000000,228.000000,0.000000,932.000000,670.000000,270,54.378283,11.173890,4.361510,True,Outlier
62,266.000000,114.000000,0.000000,228.000000,0.000000,932.000000,670.000000,270,51.732763,11.248170,4.361510,True,Outlier
63,310.000000,0.000000,0.000000,192.000000,0.000000,971.000000,850.600000,3,9.866402,2.241865,4.361510,False,Inlier
64,190.000000,190.000000,0.000000,228.000000,0.000000,932.000000,670.000000,270,50.655112,11.158777,4.361510,True,Outlier
65,266.000000,114.000000,0.000000,228.000000,0.000000,932.000000,670.000000,180,48.695621,6.968948,4.361510,True,Outlier
66,342.000000,38.000000,0.000000,228.000000,0.000000,932.000000,670.000000,270,55.064311,11.283507,4.361510,True,Outlier
67,139.600000,209.400000,0.000000,192.000000,0.000000,1047.000000,806.900000,360,44.698040,16.507798,4.361510,True,Outlier
68,332.500000,142.500000,0.000000,228.000000,0.000000,932.000000,594.000000,7,30.275581,3.727821,4.361510,False,Inlier
69,190.000000,190.000000,0.000000,228.000000,0.000000,932.000000,670.000000,28,40.856969,4.317681,4.361510,False,Inlier
70,485.000000,0.000000,0.000000,146.000000,0.000000,1120.000000,800.000000,28,71.988189,6.075454,4.361510,True,Outlier
71,374.000000,189.200000,0.000000,170.100000,10.100000,926.100000,756.700000,3,34.397958,3.210421,4.361510,False,Inlier
72,313.300000,262.200000,0.000000,175.500000,8.600000,1046.900000,611.800000,3,28.799413,4.522194,4.361510,True,Outlier
73,425.000000,106.300000,0.000000,153.500000,16.500000,852.100000,887.100000,3,33.398217,4.536026,4.361510,True,Outlier
74,425.000000,106.300000,0.000000,151.400000,18.600000,936.000000,803.700000,3,36.300911,4.635227,4.361510,True,Outlier
75,375.000000,93.800000,0.000000,126.600000,23.400000,852.100000,992.600000,3,28.999361,6.576496,4.361510,True,Outlier
76,475.000000,118.800000,0.000000,181.100000,8.900000,852.100000,781.500000,3,37.797074,3.709609,4.361510,False,Inlier
77,469.000000,117.200000,0.000000,137.800000,32.200000,852.100000,840.500000,3,40.196451,8.489267,4.361510,True,Outlier
78,425.000000,106.300000,0.000000,153.500000,16.500000,852.100000,887.100000,3,33.398217,4.536026,4.361510,True,Outlier
79,388.600000,97.100000,0.000000,157.900000,12.100000,852.100000,925.700000,3,28.096147,4.128197,4.361510,False,Inlier
80,531.300000,0.000000,0.000000,141.800000,28.200000,852.100000,893.700000,3,41.299612,7.456912,4.361510,True,Outlier
81,425.000000,106.300000,0.000000,153.500000,16.500000,852.100000,887.100000,3,33.398217,4.536026,4.361510,True,Outlier
82,318.800000,212.500000,0.000000,155.700000,14.300000,852.100000,880.400000,3,25.200348,4.792028,4.361510,True,Outlier
