contamination_fraction,repetition,model,coefficient_shift_l2
0.0,0,OLS,0.0
0.0,0,LAD,0.0
0.0,1,OLS,0.0
0.0,1,LAD,0.0
0.0,2,OLS,0.0
0.0,2,LAD,0.0
0.0,3,OLS,0.0
0.0,3,LAD,0.0
0.0,4,OLS,0.0
0.0,4,LAD,0.0
0.0,5,OLS,0.0
0.0,5,LAD,0.0
0.0,6,OLS,0.0
0.0,6,LAD,0.0
0.0,7,OLS,0.0
0.0,7,LAD,0.0
0.0,8,OLS,0.0
0.0,8,LAD,0.0
0.0,9,OLS,0.0
0.0,9,LAD,0.0
0.0,10,OLS,0.0
0.0,10,LAD,0.0
0.0,11,OLS,0.0
0.0,11,LAD,0.0
0.0,12,OLS,0.0
0.0,12,LAD,0.0
0.0,13,OLS,0.0
0.0,13,LAD,0.0
0.0,14,OLS,0.0
0.0,14,LAD,0.0
0.0,15,OLS,0.0
0.0,15,LAD,0.0
0.0,16,OLS,0.0
0.0,16,LAD,0.0
0.0,17,OLS,0.0
0.0,17,LAD,0.0
0.0,18,OLS,0.0
0.0,18,LAD,0.0
0.0,19,OLS,0.0
0.0,19,LAD,0.0
0.0,20,OLS,0.0
0.0,20,LAD,0.0
0.0,21,OLS,0.0
0.0,21,LAD,0.0
0.0,22,OLS,0.0
0.0,22,LAD,0.0
0.0,23,OLS,0.0
0.0,23,LAD,0.0
0.0,24,OLS,0.0
0.0,24,LAD,0.0
0.0,25,OLS,0.0
0.0,25,LAD,0.0
0.0,26,OLS,0.0
0.0,26,LAD,0.0
0.0,27,OLS,0.0
0.0,27,LAD,0.0
0.0,28,OLS,0.0
0.0,28,LAD,0.0
0.0,29,OLS,0.0
0.0,29,LAD,0.0
0.05,0,OLS,2.640548810462118
0.05,0,LAD,0.02717130385602698
0.05,1,OLS,0.6241268171511398
0.05,1,LAD,0.008794464284816544
0.05,2,OLS,2.4109292686059853
0.05,2,LAD,0.020117706169379766
0.05,3,OLS,1.5719805582835236
0.05,3,LAD,0.008521339353001915
0.05,4,OLS,1.7545674219394796
0.05,4,LAD,0.010326627676344888
0.05,5,OLS,1.250021729642981
0.05,5,LAD,0.009440116146663582
0.05,6,OLS,1.7349661647297254
0.05,6,LAD,0.11498133049671243
0.05,7,OLS,1.0627048950939517
0.05,7,LAD,0.01579343785090197
0.05,8,OLS,0.9048937241487596
0.05,8,LAD,0.0038354276497368084
0.05,9,OLS,1.1828289003314663
0.05,9,LAD,0.09341611265728439
0.05,10,OLS,2.09062590353471
0.05,10,LAD,0.013445045793288691
0.05,11,OLS,2.1253703773111456
0.05,11,LAD,0.009371357603560147
0.05,12,OLS,0.6510042464631511
0.05,12,LAD,0.012708586813411553
0.05,13,OLS,0.5313194414250314
0.05,13,LAD,0.031661051810007036
0.05,14,OLS,2.2603063592944945
0.05,14,LAD,0.08265461110604935
0.05,15,OLS,1.5987541654244841
0.05,15,LAD,0.06957852812768146
0.05,16,OLS,0.8854670446779341
0.05,16,LAD,0.006152657419110252
0.05,17,OLS,1.91467026873537
0.05,17,LAD,0.0018317556085319636
0.05,18,OLS,3.1853479102406896
0.05,18,LAD,0.013676295524970308
0.05,19,OLS,1.282269882066163
0.05,19,LAD,0.007545579278368873
0.05,20,OLS,2.152705576791455
0.05,20,LAD,0.013959028730696509
0.05,21,OLS,2.3750310898024285
0.05,21,LAD,0.034460771732180054
0.05,22,OLS,0.6597930949814309
0.05,22,LAD,0.0076002964908882835
0.05,23,OLS,1.1800601450583403
0.05,23,LAD,0.0094401161466626
0.05,24,OLS,0.7841781684979282
0.05,24,LAD,0.00254331761137921
0.05,25,OLS,1.6902241462902798
0.05,25,LAD,0.008468552566101163
0.05,26,OLS,2.467310414569438
0.05,26,LAD,0.013446226926251085
0.05,27,OLS,2.5028079340843634
0.05,27,LAD,0.11078388106198751
0.05,28,OLS,1.9213143841000866
0.05,28,LAD,0.04515834512256218
0.05,29,OLS,2.415431424254768
0.05,29,LAD,0.05872001467379788
0.1,0,OLS,2.484314148670535
0.1,0,LAD,0.15010982547439927
0.1,1,OLS,2.0248579654335725
0.1,1,LAD,0.012995439629952414
0.1,2,OLS,2.6311853226506887
0.1,2,LAD,0.033569353319831775
0.1,3,OLS,1.7635851425698017
0.1,3,LAD,0.006397083181974667
0.1,4,OLS,1.4128206603844158
0.1,4,LAD,0.027844683877150368
0.1,5,OLS,2.072317289854477
0.1,5,LAD,0.029336528372706606
0.1,6,OLS,1.7646262151559904
0.1,6,LAD,0.047162919966866515
0.1,7,OLS,2.202923983977322
0.1,7,LAD,0.03668918355923134
0.1,8,OLS,1.4456328694085747
0.1,8,LAD,0.015040083959920514
0.1,9,OLS,2.652870266231968
0.1,9,LAD,0.022682582350442217
0.1,10,OLS,2.96694806386886
0.1,10,LAD,0.11489258455895147
0.1,11,OLS,3.621175026939121
0.1,11,LAD,0.17008419425245985
0.1,12,OLS,3.4134148520309973
0.1,12,LAD,0.10196650053869989
0.1,13,OLS,2.5688277208469548
0.1,13,LAD,0.12540921312629283
0.1,14,OLS,2.325875701606638
0.1,14,LAD,0.021322810339561335
0.1,15,OLS,2.195622271640059
0.1,15,LAD,0.1604621958286345
0.1,16,OLS,3.4290443498215186
0.1,16,LAD,0.11409303903481548
0.1,17,OLS,3.1127148576825485
0.1,17,LAD,0.08325018326714691
0.1,18,OLS,3.1733155608014334
0.1,18,LAD,0.08952985095508201
0.1,19,OLS,1.2469784567494104
0.1,19,LAD,0.05280601536886378
0.1,20,OLS,1.3861311185571898
0.1,20,LAD,0.013350501005526318
0.1,21,OLS,2.2279285291120523
0.1,21,LAD,0.13419978727611773
0.1,22,OLS,1.8989221377138326
0.1,22,LAD,0.08204702173461169
0.1,23,OLS,3.367542399370839
0.1,23,LAD,0.04347196692542093
0.1,24,OLS,1.4529022135818042
0.1,24,LAD,0.012891499581183633
0.1,25,OLS,1.8321182992990424
0.1,25,LAD,0.07995153393853698
0.1,26,OLS,2.1640471324300443
0.1,26,LAD,0.0387098278760237
0.1,27,OLS,4.058989388416689
0.1,27,LAD,0.037428053008212614
0.1,28,OLS,2.5894492889172813
0.1,28,LAD,0.03800050319068139
0.1,29,OLS,2.4519957950794224
0.1,29,LAD,0.044415326512888494
0.2,0,OLS,3.1036298829362705
0.2,0,LAD,0.20421755021827154
0.2,1,OLS,5.344884547614653
0.2,1,LAD,0.13803321391030293
0.2,2,OLS,5.05087500391464
0.2,2,LAD,0.14499911034096952
0.2,3,OLS,5.39002408111821
0.2,3,LAD,0.15804934938763368
0.2,4,OLS,5.140023201568212
0.2,4,LAD,0.0987680092521492
0.2,5,OLS,3.04432853394805
0.2,5,LAD,0.09395843047236765
0.2,6,OLS,3.96326185236033
0.2,6,LAD,0.16089714573209046
0.2,7,OLS,3.6912163195996195
0.2,7,LAD,0.17309879969448813
0.2,8,OLS,3.3006898373822233
0.2,8,LAD,0.17443176534821628
0.2,9,OLS,4.616770833567342
0.2,9,LAD,0.07660251704344967
0.2,10,OLS,5.776335877797989
0.2,10,LAD,0.1539156686939093
0.2,11,OLS,5.677335770415092
0.2,11,LAD,0.2381661832472997
0.2,12,OLS,4.231426316112599
0.2,12,LAD,0.1518665884869525
0.2,13,OLS,1.6200783097039475
0.2,13,LAD,0.035022906701773195
0.2,14,OLS,2.4813676692568416
0.2,14,LAD,0.0102471014820246
0.2,15,OLS,4.161275049916229
0.2,15,LAD,0.24946799585591758
0.2,16,OLS,2.3430686330639765
0.2,16,LAD,0.040183623827500944
0.2,17,OLS,3.360179212997387
0.2,17,LAD,0.03257848611411949
0.2,18,OLS,4.221540575137958
0.2,18,LAD,0.16687998501998325
0.2,19,OLS,6.43743242572091
0.2,19,LAD,0.3102094944256665
0.2,20,OLS,2.726359387844
0.2,20,LAD,0.1080601295109483
0.2,21,OLS,3.452719486822669
