Dataset,Model,ContaminationRate,Repetition,Term,Estimate,CleanReferenceEstimate,EstimateShift,RobustStandardizedEstimate,CleanRobustStandardizedEstimate
Boston Housing,OLS,0,1,Intercept,25.76502072,25.76502072,0,,
Boston Housing,OLS,0,1,CRIM,-0.3981416199,-0.3981416199,0,-0.2168815888,-0.2168815888
Boston Housing,OLS,0,1,ZN,-0.01028855598,-0.01028855598,0,-0.00149109507,-0.00149109507
Boston Housing,OLS,0,1,INDUS,-0.08386181448,-0.08386181448,0,-0.1487635666,-0.1487635666
Boston Housing,OLS,0,1,CHAS,2.009809016,2.009809016,0,0.291276669,0.291276669
Boston Housing,OLS,0,1,NOX,-14.50118331,-14.50118331,0,-0.3026333908,-0.3026333908
Boston Housing,OLS,0,1,RM,4.782367,4.782367,0,0.4234820633,0.4234820633
Boston Housing,OLS,0,1,AGE,-0.02203910644,-0.02203910644,0,-0.1453303396,-0.1453303396
Boston Housing,OLS,0,1,DIS,-0.979784906,-0.979784906,0,-0.3467302585,-0.3467302585
Boston Housing,OLS,0,1,RAD,0.2896341815,0.2896341815,0,0.8395193667,0.8395193667
Boston Housing,OLS,0,1,TAX,-0.0102149664,-0.0102149664,0,-0.565524227,-0.565524227
Boston Housing,OLS,0,1,PTRATIO,-0.7292660368,-0.7292660368,0,-0.2536577519,-0.2536577519
Boston Housing,OLS,0,1,LSTAT,-0.3438291921,-0.3438291921,0,-0.4479745561,-0.4479745561
Boston Housing,LAD,0,1,Intercept,19.99811558,19.99811558,0,,
Boston Housing,LAD,0,1,CRIM,-0.5296923671,-0.5296923671,0,-0.2885418564,-0.2885418564
Boston Housing,LAD,0,1,ZN,0.01126306491,0.01126306491,0,0.001632328248,0.001632328248
Boston Housing,LAD,0,1,INDUS,-0.06155568763,-0.06155568763,0,-0.1091944372,-0.1091944372
Boston Housing,LAD,0,1,CHAS,2.310981356,2.310981356,0,0.3349248342,0.3349248342
Boston Housing,LAD,0,1,NOX,-9.575947657,-9.575947657,0,-0.1998458642,-0.1998458642
Boston Housing,LAD,0,1,RM,4.976903745,4.976903745,0,0.4407084331,0.4407084331
Boston Housing,LAD,0,1,AGE,-0.02865206404,-0.02865206404,0,-0.1889375237,-0.1889375237
Boston Housing,LAD,0,1,DIS,-0.9501396515,-0.9501396515,0,-0.3362392755,-0.3362392755
Boston Housing,LAD,0,1,RAD,0.2509050572,0.2509050572,0,0.7272610354,0.7272610354
Boston Housing,LAD,0,1,TAX,-0.00724174151,-0.00724174151,0,-0.4009196025,-0.4009196025
Boston Housing,LAD,0,1,PTRATIO,-0.7035817153,-0.7035817153,0,-0.2447240749,-0.2447240749
Boston Housing,LAD,0,1,LSTAT,-0.3016570272,-0.3016570272,0,-0.3930285035,-0.3930285035
Boston Housing,OLS,0,2,Intercept,25.76502072,25.76502072,0,,
Boston Housing,OLS,0,2,CRIM,-0.3981416199,-0.3981416199,0,-0.2168815888,-0.2168815888
Boston Housing,OLS,0,2,ZN,-0.01028855598,-0.01028855598,0,-0.00149109507,-0.00149109507
Boston Housing,OLS,0,2,INDUS,-0.08386181448,-0.08386181448,0,-0.1487635666,-0.1487635666
Boston Housing,OLS,0,2,CHAS,2.009809016,2.009809016,0,0.291276669,0.291276669
Boston Housing,OLS,0,2,NOX,-14.50118331,-14.50118331,0,-0.3026333908,-0.3026333908
Boston Housing,OLS,0,2,RM,4.782367,4.782367,0,0.4234820633,0.4234820633
Boston Housing,OLS,0,2,AGE,-0.02203910644,-0.02203910644,0,-0.1453303396,-0.1453303396
Boston Housing,OLS,0,2,DIS,-0.979784906,-0.979784906,0,-0.3467302585,-0.3467302585
