Dataset,ContaminationRate,Repetition,RecordID,OriginalResponse,AddedNoise,ContaminatedResponse
Boston Housing,0.05,1,70,20.9,-34.45790729,-13.55790729
Boston Housing,0.05,1,74,23.4,-31.91626547,-8.516265475
Boston Housing,0.05,1,84,22.9,9.508593251,32.40859325
Boston Housing,0.05,1,90,28.7,69.48012063,98.18012063
Boston Housing,0.05,1,116,18.3,-8.98433335,9.31566665
Boston Housing,0.05,1,195,29.1,34.54255144,63.64255144
Boston Housing,0.05,1,248,20.5,60.0313425,80.5313425
Boston Housing,0.05,1,251,24.4,77.71786476,102.1178648
Boston Housing,0.05,1,289,22.3,-7.506548112,14.79345189
Boston Housing,0.05,1,294,23.9,36.9254695,60.8254695
Boston Housing,0.05,1,296,28.6,-95.51571646,-66.91571646
Boston Housing,0.05,1,341,18.7,46.64504781,65.34504781
Boston Housing,0.05,1,424,13.4,-40.58018937,-27.18018937
Boston Housing,0.05,1,436,13.4,-8.654580867,4.745419133
Boston Housing,0.05,1,440,12.8,-121.7804602,-108.9804602
Boston Housing,0.05,1,447,14.9,-5.594358168,9.305641832
Boston Housing,0.05,1,459,14.9,-31.85665987,-16.95665987
Boston Housing,0.05,1,483,25,-22.75186378,2.24813622
Boston Housing,0.05,2,82,23.9,-65.85355187,-41.95355187
Boston Housing,0.05,2,107,19.5,-115.6677806,-96.16778063
Boston Housing,0.05,2,109,19.8,-18.42254958,1.377450421
Boston Housing,0.05,2,114,18.7,-66.3655119,-47.6655119
Boston Housing,0.05,2,206,22.6,140.5963656,163.1963656
Boston Housing,0.05,2,218,28.7,5.983596508,34.68359651
Boston Housing,0.05,2,223,27.5,-113.7928934,-86.2928934
Boston Housing,0.05,2,232,31.7,-69.16278005,-37.46278005
Boston Housing,0.05,2,249,24.5,-46.16786744,-21.66786744
Boston Housing,0.05,2,311,16.1,11.69818745,27.79818745
Boston Housing,0.05,2,326,24.6,11.80847479,36.40847479
Boston Housing,0.05,2,334,22.2,45.45658182,67.65658182
Boston Housing,0.05,2,338,18.5,64.43099775,82.93099775
Boston Housing,0.05,2,344,23.9,15.84339499,39.74339499
Boston Housing,0.05,2,386,7.2,52.81083611,60.01083611
Boston Housing,0.05,2,400,6.3,55.06198571,61.36198571
Boston Housing,0.05,2,430,9.5,23.54516838,33.04516838
Boston Housing,0.05,2,475,13.8,-27.02125474,-13.22125474
Boston Housing,0.05,3,50,19.4,-63.94464074,-44.54464074
Boston Housing,0.05,3,108,20.4,-14.6326029,5.767397099
Boston Housing,0.05,3,139,13.3,-73.56701847,-60.26701847
Boston Housing,0.05,3,173,23.1,22.03421572,45.13421572
Boston Housing,0.05,3,181,39.8,-42.60988256,-2.809882558
Boston Housing,0.05,3,214,28.1,-90.85647602,-62.75647602
Boston Housing,0.05,3,242,20.1,-31.63877707,-11.53877707
Boston Housing,0.05,3,272,25.2,-39.95366389,-14.75366389
Boston Housing,0.05,3,295,21.7,12.41491884,34.11491884
