Dataset,Model,ContaminationRate,ContaminationPercent,Repetition,Rows,ContaminatedRows,NoiseSD,CleanSAE,CleanSSE,CleanMAE,CleanRMSE,CleanMedianAbsoluteError,CleanR2,ContaminatedTrainingMAE,ContaminatedTrainingRMSE,PredictionRMSEFromCleanFit,StandardizedSlopeL2Shift
Boston Housing,OLS,0,0,1,357,0,69,843.9809236,3379.185215,2.364092223,3.076606053,1.860084881,0.7978827838,2.364092223,3.076606053,0,0
Boston Housing,LAD,0,0,1,357,0,69,821.5300185,3500.351783,2.301204534,3.131278805,1.708094829,0.7906355191,2.301204534,3.131278805,0,0
Boston Housing,OLS,0,0,2,357,0,69,843.9809236,3379.185215,2.364092223,3.076606053,1.860084881,0.7978827838,2.364092223,3.076606053,0,0
Boston Housing,LAD,0,0,2,357,0,69,821.5300185,3500.351783,2.301204534,3.131278805,1.708094829,0.7906355191,2.301204534,3.131278805,0,0
Boston Housing,OLS,0,0,3,357,0,69,843.9809236,3379.185215,2.364092223,3.076606053,1.860084881,0.7978827838,2.364092223,3.076606053,0,0
Boston Housing,LAD,0,0,3,357,0,69,821.5300185,3500.351783,2.301204534,3.131278805,1.708094829,0.7906355191,2.301204534,3.131278805,0,0
Boston Housing,OLS,0,0,4,357,0,69,843.9809236,3379.185215,2.364092223,3.076606053,1.860084881,0.7978827838,2.364092223,3.076606053,0,0
Boston Housing,LAD,0,0,4,357,0,69,821.5300185,3500.351783,2.301204534,3.131278805,1.708094829,0.7906355191,2.301204534,3.131278805,0,0
Boston Housing,OLS,0,0,5,357,0,69,843.9809236,3379.185215,2.364092223,3.076606053,1.860084881,0.7978827838,2.364092223,3.076606053,0,0
Boston Housing,LAD,0,0,5,357,0,69,821.5300185,3500.351783,2.301204534,3.131278805,1.708094829,0.7906355191,2.301204534,3.131278805,0,0
Boston Housing,OLS,0,0,6,357,0,69,843.9809236,3379.185215,2.364092223,3.076606053,1.860084881,0.7978827838,2.364092223,3.076606053,0,0
Boston Housing,LAD,0,0,6,357,0,69,821.5300185,3500.351783,2.301204534,3.131278805,1.708094829,0.7906355191,2.301204534,3.131278805,0,0
Boston Housing,OLS,0,0,7,357,0,69,843.9809236,3379.185215,2.364092223,3.076606053,1.860084881,0.7978827838,2.364092223,3.076606053,0,0
Boston Housing,LAD,0,0,7,357,0,69,821.5300185,3500.351783,2.301204534,3.131278805,1.708094829,0.7906355191,2.301204534,3.131278805,0,0
Boston Housing,OLS,0,0,8,357,0,69,843.9809236,3379.185215,2.364092223,3.076606053,1.860084881,0.7978827838,2.364092223,3.076606053,0,0
Boston Housing,LAD,0,0,8,357,0,69,821.5300185,3500.351783,2.301204534,3.131278805,1.708094829,0.7906355191,2.301204534,3.131278805,0,0
Boston Housing,OLS,0,0,9,357,0,69,843.9809236,3379.185215,2.364092223,3.076606053,1.860084881,0.7978827838,2.364092223,3.076606053,0,0
Boston Housing,LAD,0,0,9,357,0,69,821.5300185,3500.351783,2.301204534,3.131278805,1.708094829,0.7906355191,2.301204534,3.131278805,0,0
Boston Housing,OLS,0,0,10,357,0,69,843.9809236,3379.185215,2.364092223,3.076606053,1.860084881,0.7978827838,2.364092223,3.076606053,0,0
Boston Housing,LAD,0,0,10,357,0,69,821.5300185,3500.351783,2.301204534,3.131278805,1.708094829,0.7906355191,2.301204534,3.131278805,0,0
