Dataset,Model,ContaminationRate,ContaminationPercent,Repetitions,ContaminatedRows,CleanMAEMean,CleanMAEStd,CleanRMSEMean,CleanRMSEStd,PredictionDriftMean,PredictionDriftStd,SlopeShiftMean,SlopeShiftStd
Boston Housing,OLS,0,0,30,0,2.364092223,0,3.076606053,0,0,0,0,0
Boston Housing,LAD,0,0,30,0,2.301204534,0,3.131278805,0,0,0,0,0
Boston Housing,OLS,0.05,5,30,18,3.299675945,0.4260134414,4.239425451,0.5331831754,2.85948785,0.7913502726,2.453031359,1.277536057
Boston Housing,LAD,0.05,5,30,18,2.310589128,0.005438581554,3.157497659,0.03183342592,0.3537557904,0.1421091011,0.2565041629,0.1543605126
Boston Housing,OLS,0.1,10,30,36,4.084018644,0.5686644143,5.196307452,0.6708032611,4.162215481,0.8181432314,3.035035611,1.302832395
Boston Housing,LAD,0.1,10,30,36,2.319454248,0.01020396135,3.182322691,0.05043605776,0.4737010193,0.177049663,0.2864048709,0.1214688109
Boston Housing,OLS,0.2,20,30,71,4.966147957,0.6297397749,6.394737905,0.7348083124,5.592106827,0.8371469054,3.872734864,1.610273471
Boston Housing,LAD,0.2,20,30,71,2.339758596,0.01582024658,3.223174584,0.05462445854,0.6622724894,0.1644443967,0.4503080335,0.265371023
Concrete Strength,OLS,0,0,30,0,5.909702911,0,7.625968863,0,0,0,0,0
Concrete Strength,LAD,0,0,30,0,5.871160165,0,7.666605457,0,0,0,0,0
Concrete Strength,OLS,0.05,5,30,42,7.328209629,0.7951507167,9.339818996,0.9759842357,5.225576173,1.668459489,0.7791411411,0.3960941123
Concrete Strength,LAD,0.05,5,30,42,5.879135044,0.004317518655,7.682514189,0.01403683825,0.5463596063,0.1480840003,0.06280288981,0.03236619731
Concrete Strength,OLS,0.1,10,30,84,8.624946388,1.012555708,10.81348405,1.237765686,7.576379807,1.718710514,1.231695305,0.7261455944
Concrete Strength,LAD,0.1,10,30,84,5.884749044,0.007574233345,7.688855893,0.02292655117,0.6290251839,0.2107313228,0.09190657338,0.05141279015
Concrete Strength,OLS,0.2,20,30,167,9.743841716,1.2929199,12.24389582,1.589112008,9.504030156,2.001403542,1.373844175,0.6706506567
Concrete Strength,LAD,0.2,20,30,167,5.89544313,0.01406520543,7.711439044,0.0382589492,0.805212532,0.2346609647,0.1209438804,0.05957953255
Hawkins-Bradu-Kass (HBK),OLS,0,0,30,0,0.4707451401,0,0.5453247461,0,0,0,0,0
Hawkins-Bradu-Kass (HBK),LAD,0,0,30,0,0.4668075038,0,0.5543605462,0,0,0,0,0
Hawkins-Bradu-Kass (HBK),OLS,0.05,5,30,3,0.5944155596,0.1376706136,0.7148460875,0.1704906242,0.4169450938,0.2649934092,0.7263010255,0.4889909786
Hawkins-Bradu-Kass (HBK),LAD,0.05,5,30,3,0.4694583287,0.002255388748,0.5579060307,0.006573024811,0.08240533794,0.04943153239,0.1453602189,0.09165869457
Hawkins-Bradu-Kass (HBK),OLS,0.1,10,30,6,0.7176881104,0.1834221758,0.8802620037,0.2209306137,0.6712532705,0.2768377246,1.130597918,0.5239781171
Hawkins-Bradu-Kass (HBK),LAD,0.1,10,30,6,0.4741649147,0.006417422949,0.5704743022,0.01620923746,0.1296392619,0.05608493708,0.2170106964,0.1045606793
Hawkins-Bradu-Kass (HBK),OLS,0.2,20,30,12,0.9150612022,0.2950117139,1.110516621,0.3464735345,0.9446112615,0.4063548187,1.606784256,0.7704521341
Hawkins-Bradu-Kass (HBK),LAD,0.2,20,30,12,0.4785759925,0.01020064889,0.5754125166,0.02084398708,0.1647014614,0.07421211902,0.2662119867,0.1300015731
Synthetic OLS-LAD,OLS,0,0,30,0,1.901923112,0,2.365014511,0,0,0,0,0
Synthetic OLS-LAD,LAD,0,0,30,0,1.860768883,0,2.396635896,0,0,0,0,0
Synthetic OLS-LAD,OLS,0.05,5,30,4,7.021960205,3.017276667,8.483249667,3.560634985,8.065637466,3.747170104,1.940273957,1.739544535
Synthetic OLS-LAD,LAD,0.05,5,30,4,1.867599332,0.007245149717,2.39823922,0.009264655973,0.1723342803,0.1289028292,0.03955745701,0.03158554538
Synthetic OLS-LAD,OLS,0.1,10,30,8,10.55274158,4.672178265,12.82906499,5.584561249,12.5462434,5.729338135,2.798173628,1.618464612
Synthetic OLS-LAD,LAD,0.1,10,30,8,1.873612093,0.01219390301,2.401717244,0.011831789,0.2294096637,0.1494322503,0.04592003781,0.03642789707
Synthetic OLS-LAD,OLS,0.2,20,30,16,14.91330114,5.539965384,18.15464788,6.785512073,17.97370903,6.857072696,4.916285464,3.124881935
Synthetic OLS-LAD,LAD,0.2,20,30,16,1.914537145,0.05281357801,2.449335105,0.06165831275,0.4850085987,0.2923388691,0.1228539392,0.09706956775
