contamination_fraction,repetition,model,SSE,SAE
0.0,0,OLS,180.32750511391785,146.5467460674309
0.0,0,LAD,182.12296848268252,145.66332017257207
0.0,1,OLS,180.32750511391785,146.5467460674309
0.0,1,LAD,182.12296848268252,145.66332017257207
0.0,2,OLS,180.32750511391785,146.5467460674309
0.0,2,LAD,182.12296848268252,145.66332017257207
0.0,3,OLS,180.32750511391785,146.5467460674309
0.0,3,LAD,182.12296848268252,145.66332017257207
0.0,4,OLS,180.32750511391785,146.5467460674309
0.0,4,LAD,182.12296848268252,145.66332017257207
0.0,5,OLS,180.32750511391785,146.5467460674309
0.0,5,LAD,182.12296848268252,145.66332017257207
0.0,6,OLS,180.32750511391785,146.5467460674309
0.0,6,LAD,182.12296848268252,145.66332017257207
0.0,7,OLS,180.32750511391785,146.5467460674309
0.0,7,LAD,182.12296848268252,145.66332017257207
0.0,8,OLS,180.32750511391785,146.5467460674309
0.0,8,LAD,182.12296848268252,145.66332017257207
0.0,9,OLS,180.32750511391785,146.5467460674309
0.0,9,LAD,182.12296848268252,145.66332017257207
0.0,10,OLS,180.32750511391785,146.5467460674309
0.0,10,LAD,182.12296848268252,145.66332017257207
0.0,11,OLS,180.32750511391785,146.5467460674309
0.0,11,LAD,182.12296848268252,145.66332017257207
0.0,12,OLS,180.32750511391785,146.5467460674309
0.0,12,LAD,182.12296848268252,145.66332017257207
0.0,13,OLS,180.32750511391785,146.5467460674309
0.0,13,LAD,182.12296848268252,145.66332017257207
0.0,14,OLS,180.32750511391785,146.5467460674309
0.0,14,LAD,182.12296848268252,145.66332017257207
0.0,15,OLS,180.32750511391785,146.5467460674309
0.0,15,LAD,182.12296848268252,145.66332017257207
0.0,16,OLS,180.32750511391785,146.5467460674309
0.0,16,LAD,182.12296848268252,145.66332017257207
0.0,17,OLS,180.32750511391785,146.5467460674309
0.0,17,LAD,182.12296848268252,145.66332017257207
0.0,18,OLS,180.32750511391785,146.5467460674309
0.0,18,LAD,182.12296848268252,145.66332017257207
0.0,19,OLS,180.32750511391785,146.5467460674309
0.0,19,LAD,182.12296848268252,145.66332017257207
0.0,20,OLS,180.32750511391785,146.5467460674309
0.0,20,LAD,182.12296848268252,145.66332017257207
0.0,21,OLS,180.32750511391785,146.5467460674309
0.0,21,LAD,182.12296848268252,145.66332017257207
0.0,22,OLS,180.32750511391785,146.5467460674309
0.0,22,LAD,182.12296848268252,145.66332017257207
0.0,23,OLS,180.32750511391785,146.5467460674309
0.0,23,LAD,182.12296848268252,145.66332017257207
0.0,24,OLS,180.32750511391785,146.5467460674309
0.0,24,LAD,182.12296848268252,145.66332017257207
0.0,25,OLS,180.32750511391785,146.5467460674309
0.0,25,LAD,182.12296848268252,145.66332017257207
0.0,26,OLS,180.32750511391785,146.5467460674309
0.0,26,LAD,182.12296848268252,145.66332017257207
0.0,27,OLS,180.32750511391785,146.5467460674309
0.0,27,LAD,182.12296848268252,145.66332017257207
0.0,28,OLS,180.32750511391785,146.5467460674309
0.0,28,LAD,182.12296848268252,145.66332017257207
0.0,29,OLS,180.32750511391785,146.5467460674309
0.0,29,LAD,182.12296848268252,145.66332017257207
0.05,0,OLS,1650.0681194734586,459.88990732869195
0.05,0,LAD,181.86450857143356,145.85929965287238
0.05,1,OLS,261.49676147496706,182.20917808180616
0.05,1,LAD,181.86622046009194,145.67634314976613
0.05,2,OLS,1357.9961404395574,417.79602192703265
0.05,2,LAD,181.7901865134623,145.6994696388108
0.05,3,OLS,699.4788794962801,298.07959690785253
0.05,3,LAD,182.20455243234832,145.68617169571604
0.05,4,OLS,808.2164485798346,327.9650171675522
0.05,4,LAD,182.03167407026154,145.6762612601753
0.05,5,OLS,535.4290922064448,267.2885012197097
0.05,5,LAD,181.8423101628399,145.6751684272736
0.05,6,OLS,735.8010226681585,305.2012598250001
0.05,6,LAD,182.20784066345846,146.40005135636648
0.05,7,OLS,426.39456660091815,243.18354350157836
0.05,7,LAD,181.61767465860584,145.6871888676966
0.05,8,OLS,355.4867518910626,216.58351721299908
0.05,8,LAD,182.13838805289478,145.66475380926403
0.05,9,OLS,440.1529408444266,234.37474443640627
0.05,9,LAD,181.86096968360062,146.18952562923164
0.05,10,OLS,1130.6651371474968,395.5037031790982
0.05,10,LAD,181.92583859682648,145.68360679267192
0.05,11,OLS,1158.3798527029048,392.03438169959384
0.05,11,LAD,182.1579590495958,145.68961168813263
0.05,12,OLS,249.00811618447605,173.43725294105207
0.05,12,LAD,182.4324449288677,145.7244941172089
0.05,13,OLS,227.51589963078388,168.71035146244367
0.05,13,LAD,181.29648690707802,145.75283766771355
0.05,14,OLS,1118.3950335679822,371.048479035891
0.05,14,LAD,184.8141916627436,146.37499644177166
0.05,15,OLS,691.2926956709902,302.3731127807529
0.05,15,LAD,181.4356064557159,146.20534401307094
0.05,16,OLS,341.1366695325362,210.69859420810832
0.05,16,LAD,182.0293306016519,145.66921159006836
0.05,17,OLS,872.2489504305056,339.46635178657493
0.05,17,LAD,182.11198771232517,145.66919290420898
0.05,18,OLS,2244.5014806576596,533.7370801872057
0.05,18,LAD,181.91864528094266,145.68509282131305
0.05,19,OLS,503.8370317356462,266.49247798458134
0.05,19,LAD,182.26419008681074,145.6783733594919
0.05,20,OLS,1136.4637101109306,397.0712514681114
0.05,20,LAD,181.87632661102438,145.68351432870438
0.05,21,OLS,1094.432045064436,361.38114350537376
0.05,21,LAD,181.5465725846445,145.79429559714478
0.05,22,OLS,269.9589181098581,179.6935518054696
0.05,22,LAD,182.2995491462445,145.6832801646889
0.05,23,OLS,479.95267350942066,248.03272909489036
0.05,23,LAD,181.84231016283988,145.6751684272736
0.05,24,OLS,291.82011140364784,189.1689081250397
0.05,24,LAD,182.08099033235246,145.66984322263085
0.05,25,OLS,779.527070064197,312.6998198109004
0.05,25,LAD,182.1331784717599,145.67730070747
0.05,26,OLS,1332.0763159277487,425.09442794465417
0.05,26,LAD,182.38559713898408,145.72795605466308
0.05,27,OLS,1504.4209010483144,452.94397050013487
0.05,27,LAD,182.0122022114124,146.83247159342122
0.05,28,OLS,923.0031507384897,344.9021617454691
0.05,28,LAD,181.73459182318203,145.98659714186192
0.05,29,OLS,1414.6953710464327,423.31573722367995
0.05,29,LAD,181.39401993518223,146.10550999729958
0.1,0,OLS,1348.7382161457301,425.0820301938538
0.1,0,LAD,181.6856636600767,146.85100406019043
0.1,1,OLS,879.3281038631465,332.0837996251141
0.1,1,LAD,182.35742353296953,145.70594909249562
0.1,2,OLS,1647.314921225382,475.1349476205582
0.1,2,LAD,181.6626704434836,145.89829538756646
0.1,3,OLS,698.6616879281958,286.74228394508265
0.1,3,LAD,182.25318011141874,145.67491453087683
0.1,4,OLS,619.1423810348115,284.03089234784
0.1,4,LAD,182.3842940901425,145.8040489870461
0.1,5,OLS,1154.7086983618958,377.04207048953845
0.1,5,LAD,181.29645480834273,145.73879014592302
0.1,6,OLS,876.8246864274823,337.32833854073044
0.1,6,LAD,182.21620089347564,146.0747732161238
0.1,7,OLS,1305.0173021160722,416.4931565354125
0.1,7,LAD,181.15847531758095,145.7900786871453
0.1,8,OLS,579.4829122647523,279.7796372339397
0.1,8,LAD,182.22136584384668,145.73892457770881
0.1,9,OLS,1675.3608592173678,463.56615572162804
0.1,9,LAD,182.58494593199228,145.7731189123537
0.1,10,OLS,2133.1170444011645,521.7594172051862
0.1,10,LAD,182.81036391528306,146.99548338168955
0.1,11,OLS,2920.431666723336,629.9625857093209
0.1,11,LAD,183.1767834992774,147.83158192962622
0.1,12,OLS,2177.7378987427946,535.0473930370867
0.1,12,LAD,181.355980845388,146.49261669128367
0.1,13,OLS,1446.6829715556146,474.915793770191
0.1,13,LAD,182.73991723292775,146.60372849642349
0.1,14,OLS,1374.8174019337314,420.29942312943786
0.1,14,LAD,182.0521961957229,145.75648663505683
0.1,15,OLS,1085.2866837833942,368.50151365797706
0.1,15,LAD,181.86859591049756,147.42486841539244
0.1,16,OLS,2611.786944468279,580.1426646443076
0.1,16,LAD,182.29802413543396,146.46268466073155
0.1,17,OLS,2104.37620592791,526.9225518733522
0.1,17,LAD,184.62609953622962,146.42608792792987
0.1,18,OLS,1886.5161993966326,485.45581268038234
0.1,18,LAD,185.2021952666969,146.47541066074626
0.1,19,OLS,512.3048421544793,258.6664778392329
0.1,19,LAD,181.24719141768614,145.9057153448626
0.1,20,OLS,561.0604979610663,277.27971689468245
0.1,20,LAD,182.543379957349,145.7448551565249
0.1,21,OLS,1149.194977550725,393.205483653986
0.1,21,LAD,180.8850958963474,146.6811865089503
0.1,22,OLS,803.2035716661144,327.240962416147
0.1,22,LAD,185.23224671836212,146.3499840890157
0.1,23,OLS,2855.3422664198783,612.8310468632449
0.1,23,LAD,182.2613484449385,146.01296618522173
0.1,24,OLS,618.6856205166307,283.4102362117825
0.1,24,LAD,182.13193450219808,145.7315507869924
0.1,25,OLS,883.553147011119,336.1603305539559
0.1,25,LAD,181.01888319454483,146.13622226325884
0.1,26,OLS,1185.6469238722989,390.5557902235988
0.1,26,LAD,181.13097735605675,145.7960354997386
0.1,27,OLS,3301.276537380887,682.3097237563322
0.1,27,LAD,182.23757931889278,145.89947529887343
0.1,28,OLS,1574.6201115043873,485.93299262892606
0.1,28,LAD,181.73977116231646,145.84353990115494
0.1,29,OLS,1302.5306713165137,410.1953911877738
0.1,29,LAD,181.27280565945486,145.92372016296986
0.2,0,OLS,2109.677868945925,512.16312759826
0.2,0,LAD,182.99792281414489,148.2372962620188
0.2,1,OLS,6828.428755814684,959.8352370846833
0.2,1,LAD,184.3536267800217,148.10092751613166
0.2,2,OLS,5808.5322316729935,893.807119142687
0.2,2,LAD,186.0652254964199,147.8846393330511
0.2,3,OLS,6146.187079427371,1042.656857736784
0.2,3,LAD,186.24425759922917,147.97434385597916
0.2,4,OLS,5621.278593919677,855.4664237733746
0.2,4,LAD,185.12571624069037,147.1203955774474
0.2,5,OLS,2271.249172713214,546.0052446959113
0.2,5,LAD,184.22458759347916,146.71527868361858
0.2,6,OLS,3362.539607096295,707.0137559187053
0.2,6,LAD,185.395468509396,147.57194899486592
0.2,7,OLS,2893.0409324247103,622.0649089519734
0.2,7,LAD,183.49646280059994,147.39315530957958
0.2,8,OLS,2162.0696681359464,537.0242218535803
0.2,8,LAD,183.20204648458477,148.18759585096933
0.2,9,OLS,4554.430539515645,770.0181798104642
0.2,9,LAD,180.83368001756236,146.28017988914627
0.2,10,OLS,6923.812654027983,939.3865544245143
0.2,10,LAD,181.9847632639552,147.6722436626045
0.2,11,OLS,6915.636311654648,962.2034307998368
0.2,11,LAD,189.49175119845415,150.2274233856785
0.2,12,OLS,4281.335550279001,738.4249151616043
0.2,12,LAD,181.64587019420236,146.86418087961763
0.2,13,OLS,634.4448240116436,281.92782231357063
0.2,13,LAD,182.91755623795788,145.86460522917162
0.2,14,OLS,1529.064089469601,447.1717326751806
0.2,14,LAD,182.13100475095092,145.68834072709575
0.2,15,OLS,3430.990997318335,639.9029476255965
0.2,15,LAD,184.2246051837694,148.84777651810276
0.2,16,OLS,1370.9053144730183,439.53195041892263
0.2,16,LAD,182.91071983992148,145.93802020529432
0.2,17,OLS,2460.9500409923025,610.3052435380295
0.2,17,LAD,182.5645308700293,145.86978268838726
0.2,18,OLS,3756.2661948228038,701.4651918412771
0.2,18,LAD,186.1101697435548,148.4112479804329
0.2,19,OLS,7384.507748830344,990.8587922610984
0.2,19,LAD,189.64096023929991,150.5106146671565
0.2,20,OLS,1736.9416015180298,473.0752487488586
0.2,20,LAD,180.82812198182398,146.44764909055394
0.2,21,OLS,2520.4549345077894,603.5868837255937
0.2,21,LAD,186.72271850405662,146.98104188937214
0.2,22,OLS,1620.7496615465113,456.7644757842923
0.2,22,LAD,181.33423193237667,146.73632857307027
0.2,23,OLS,1408.124070927621,444.14446793502384
0.2,23,LAD,183.31902013868046,147.7293210820229
0.2,24,OLS,2538.7721944960085,575.080182878524
0.2,24,LAD,183.58794470210023,147.11543541704293
0.2,25,OLS,1686.961138308346,469.79258293947044
0.2,25,LAD,181.16951484409512,146.57357103815053
0.2,26,OLS,3853.569874101451,694.3878320699001
0.2,26,LAD,183.1851095494137,146.2519705366216
0.2,27,OLS,2659.8182143056424,593.7632905328602
0.2,27,LAD,181.68348726909304,146.88822101330442
0.2,28,OLS,5189.852503414059,829.2987729491408
0.2,28,LAD,183.3237058938896,147.39500109110853
0.2,29,OLS,1356.8847318271507,408.2443901798314
0.2,29,LAD,181.6700658735352,147.21818182634274
