Dataset,ContaminationRate,ContaminationPercent,Repetitions,ContaminatedRows,NoiseSD,OLS_CleanMAE_Mean,LAD_CleanMAE_Mean,LADMinusOLS_CleanMAE_Mean,LADMinusOLS_CleanMAE_SD,LADWinRate_CleanMAE,LADReductionPercent_CleanMAE,OLS_CleanRMSE_Mean,LAD_CleanRMSE_Mean,LADMinusOLS_CleanRMSE_Mean,LADMinusOLS_CleanRMSE_SD,LADWinRate_CleanRMSE,LADReductionPercent_CleanRMSE,OLS_PredictionRMSEFromCleanFit_Mean,LAD_PredictionRMSEFromCleanFit_Mean,LADMinusOLS_PredictionRMSEFromCleanFit_Mean,LADMinusOLS_PredictionRMSEFromCleanFit_SD,LADWinRate_PredictionRMSEFromCleanFit,LADReductionPercent_PredictionRMSEFromCleanFit,OLS_StandardizedSlopeL2Shift_Mean,LAD_StandardizedSlopeL2Shift_Mean,LADMinusOLS_StandardizedSlopeL2Shift_Mean,LADMinusOLS_StandardizedSlopeL2Shift_SD,LADWinRate_StandardizedSlopeL2Shift,LADReductionPercent_StandardizedSlopeL2Shift
Boston Housing,0,0,30,0,69,2.364092223,2.301204534,-0.062887689,0,1,2.660119956,3.076606053,3.131278805,0.054672752,0,0,-1.777047534,0,0,0,0,0,,0,0,0,0,0,
Boston Housing,0.05,5,30,18,69,3.299675945,2.310589128,-0.9890868179,0.4239380575,1,29.97527134,4.239425451,3.157497658,-1.081927793,0.5169436149,1,25.52062314,2.859487849,0.3537557904,-2.505732059,0.7453832289,1,87.62870105,2.453031359,0.2565041629,-2.196527196,1.203428502,1,89.5433802
Boston Housing,0.1,10,30,36,69,4.084018644,2.319454248,-1.764564395,0.5667637635,1,43.20657052,5.196307452,3.182322691,-2.01398476,0.660885964,1,38.75799843,4.162215481,0.4737010193,-3.688514461,0.7922123048,1,88.61901741,3.035035611,0.2864048709,-2.74863074,1.308155043,1,90.56337692
Boston Housing,0.2,20,30,71,69,4.966147957,2.339758596,-2.62638936,0.6296867522,1,52.88584599,6.394737905,3.223174584,-3.17156332,0.7393532939,1,49.59645521,5.592106827,0.6622724894,-4.929834338,0.867490349,1,88.15701291,3.872734864,0.4503080336,-3.42242683,1.45880651,1,88.37235056
Concrete Strength,0,0,30,0,223.3212764,5.909702911,5.871160165,-0.038542746,0,1,0.6521943079,7.625968863,7.666605457,0.040636594,0,0,-0.532871229,0,0,0,0,0,,0,0,0,0,0,
Concrete Strength,0.05,5,30,42,223.3212764,7.328209629,5.879135044,-1.449074585,0.7942217093,1,19.77392376,9.339818996,7.682514189,-1.657304807,0.9766678518,1,17.7445067,5.225576173,0.5463596063,-4.679216567,1.649475587,1,89.54450977,0.7791411411,0.06280288981,-0.7163382513,0.3904979182,1,91.939472
Concrete Strength,0.1,10,30,84,223.3212764,8.624946388,5.884749044,-2.740197344,1.009678791,1,31.77060147,10.81348405,7.688855892,-3.124628157,1.234214959,1,28.89566529,7.576379807,0.6290251839,-6.947354623,1.660101448,1,91.69754949,1.231695305,0.09190657339,-1.139788732,0.7225017079,1,92.53820543
Concrete Strength,0.2,20,30,167,223.3212764,9.743841716,5.89544313,-3.848398586,1.292439131,1,39.49570096,12.24389582,7.711439044,-4.532456775,1.587698709,1,37.01809328,9.504030156,0.805212532,-8.698817624,2.025091488,1,91.5276728,1.373844175,0.1209438804,-1.252900295,0.6761542926,1,91.19668136
Hawkins-Bradu-Kass (HBK),0,0,30,0,9,0.4707451401,0.4668075038,-0.0039376363,0,1,0.836468816,0.5453247461,0.5543605462,0.0090358001,0,0,-1.65695765,0,0,0,0,0,,0,0,0,0,0,
Hawkins-Bradu-Kass (HBK),0.05,5,30,3,9,0.5944155596,0.4694583287,-0.1249572309,0.1371108085,1,21.02186407,0.7148460875,0.5579060307,-0.1569400568,0.1685510139,0.9333333333,21.95438424,0.4169450938,0.08240533793,-0.3345397559,0.2711080004,0.9333333333,80.23592575,0.7263010255,0.1453602189,-0.5809408066,0.5021235387,0.9333333333,79.98622971
Hawkins-Bradu-Kass (HBK),0.1,10,30,6,9,0.7176881104,0.4741649147,-0.2435231957,0.180975329,1,33.93161906,0.8802620037,0.5704743022,-0.3097877015,0.2185554605,1,35.19266994,0.6712532705,0.1296392619,-0.5416140086,0.2540512457,1,80.68698246,1.130597918,0.2170106964,-0.9135872219,0.4881133735,1,80.80566992
Hawkins-Bradu-Kass (HBK),0.2,20,30,12,9,0.9150612022,0.4785759925,-0.4364852096,0.2910064144,1,47.70011105,1.110516621,0.5754125166,-0.5351041042,0.3388048511,1,48.18515043,0.9446112615,0.1647014614,-0.7799098001,0.3936091988,1,82.56410143,1.606784256,0.2662119867,-1.340572269,0.7494514123,1,83.43200179
Synthetic OLS-LAD,0,0,30,0,184.225,1.901923112,1.860768883,-0.041154229,0,1,2.16382191,2.365014511,2.396635896,0.031621385,0,0,-1.337048244,0,0,0,0,0,,0,0,0,0,0,
Synthetic OLS-LAD,0.05,5,30,4,184.225,7.021960206,1.867599331,-5.154360874,3.018046047,1,73.40344752,8.483249667,2.398239221,-6.085010446,3.558561786,1,71.72971073,8.065637466,0.1723342803,-7.893303185,3.761754597,1,97.86335202,1.940273957,0.03955745701,-1.9007165,1.743715964,1,97.96124373
Synthetic OLS-LAD,0.1,10,30,8,184.225,10.55274158,1.873612093,-8.679129484,4.667456096,1,82.2452575,12.82906499,2.401717244,-10.42734775,5.581057618,1,81.27909364,12.5462434,0.2294096637,-12.31683374,5.693522876,1,98.17148722,2.798173628,0.04592003781,-2.75225359,1.621413074,1,98.35892822
Synthetic OLS-LAD,0.2,20,30,16,184.225,14.91330114,1.914537145,-12.99876399,5.529226039,1,87.16221763,18.15464788,2.449335105,-15.70531277,6.76488955,1,86.50849567,17.97370903,0.4850085987,-17.48870043,6.787348434,1,97.30156643,4.916285464,0.1228539392,-4.793431525,3.116251843,1,97.50108206
