RecordID,Observation,X1,X2,X3,Y,CaseGroup,RobustDistance,DistanceCutoff,OutlierFlag,OutlierStatus,KnownOutlier
1,1,10.100000,19.600000,28.300000,9.700000,Cases 1-10 (bad leverage),36.816084,3.338156,True,Outlier,True
2,2,9.500000,20.500000,28.900000,10.100000,Cases 1-10 (bad leverage),37.969806,3.338156,True,Outlier,True
3,3,10.700000,20.200000,31.000000,10.300000,Cases 1-10 (bad leverage),39.723034,3.338156,True,Outlier,True
4,4,9.900000,21.500000,31.700000,9.500000,Cases 1-10 (bad leverage),39.804249,3.338156,True,Outlier,True
5,5,10.300000,21.100000,31.100000,10.000000,Cases 1-10 (bad leverage),39.747773,3.338156,True,Outlier,True
6,6,10.800000,20.400000,29.200000,10.000000,Cases 1-10 (bad leverage),38.120961,3.338156,True,Outlier,True
7,7,10.500000,20.900000,29.100000,10.800000,Cases 1-10 (bad leverage),39.076525,3.338156,True,Outlier,True
8,8,9.900000,19.600000,28.800000,10.300000,Cases 1-10 (bad leverage),37.836518,3.338156,True,Outlier,True
9,9,9.700000,20.700000,31.000000,9.600000,Cases 1-10 (bad leverage),39.093941,3.338156,True,Outlier,True
10,10,9.300000,19.700000,30.300000,9.900000,Cases 1-10 (bad leverage),38.538384,3.338156,True,Outlier,True
11,11,11.000000,24.000000,35.000000,-0.200000,Cases 11-14 (good leverage),37.244653,3.338156,True,Outlier,True
12,12,12.000000,23.000000,37.000000,-0.400000,Cases 11-14 (good leverage),38.553822,3.338156,True,Outlier,True
13,13,12.000000,26.000000,34.000000,0.700000,Cases 11-14 (good leverage),37.709366,3.338156,True,Outlier,True
14,14,11.000000,34.000000,34.000000,0.100000,Cases 11-14 (good leverage),41.717674,3.338156,True,Outlier,True
15,15,3.400000,2.900000,2.100000,-0.400000,Cases 15-75 (regular),2.154705,3.338156,False,Inlier,False
16,16,3.100000,2.200000,0.300000,0.600000,Cases 15-75 (regular),2.316933,3.338156,False,Inlier,False
17,17,0.000000,1.600000,0.200000,-0.200000,Cases 15-75 (regular),1.984417,3.338156,False,Inlier,False
18,18,2.300000,1.600000,2.000000,0.000000,Cases 15-75 (regular),0.800657,3.338156,False,Inlier,False
19,19,0.800000,2.900000,1.600000,0.100000,Cases 15-75 (regular),1.347231,3.338156,False,Inlier,False
20,20,3.100000,3.400000,2.200000,0.400000,Cases 15-75 (regular),2.216567,3.338156,False,Inlier,False
21,21,2.600000,2.200000,1.900000,0.900000,Cases 15-75 (regular),2.004582,3.338156,False,Inlier,False
22,22,0.400000,3.200000,1.900000,0.300000,Cases 15-75 (regular),1.944633,3.338156,False,Inlier,False
23,23,2.000000,2.300000,0.800000,-0.800000,Cases 15-75 (regular),1.959583,3.338156,False,Inlier,False
24,24,1.300000,2.300000,0.500000,0.700000,Cases 15-75 (regular),1.790918,3.338156,False,Inlier,False
25,25,1.000000,0.000000,0.400000,-0.300000,Cases 15-75 (regular),2.081166,3.338156,False,Inlier,False
26,26,0.900000,3.300000,2.500000,-0.800000,Cases 15-75 (regular),2.059319,3.338156,False,Inlier,False
27,27,3.300000,2.500000,2.900000,-0.700000,Cases 15-75 (regular),2.305095,3.338156,False,Inlier,False
28,28,1.800000,0.800000,2.000000,0.300000,Cases 15-75 (regular),1.278777,3.338156,False,Inlier,False
29,29,1.200000,0.900000,0.800000,0.300000,Cases 15-75 (regular),1.279471,3.338156,False,Inlier,False
30,30,1.200000,0.700000,3.400000,-0.300000,Cases 15-75 (regular),2.128542,3.338156,False,Inlier,False
31,31,3.100000,1.400000,1.000000,0.000000,Cases 15-75 (regular),1.737228,3.338156,False,Inlier,False
32,32,0.500000,2.400000,0.300000,-0.400000,Cases 15-75 (regular),1.934857,3.338156,False,Inlier,False
33,33,1.500000,3.100000,1.500000,-0.600000,Cases 15-75 (regular),1.646156,3.338156,False,Inlier,False
34,34,0.400000,0.000000,0.700000,-0.700000,Cases 15-75 (regular),2.369321,3.338156,False,Inlier,False
35,35,3.100000,2.400000,3.000000,0.300000,Cases 15-75 (regular),2.043108,3.338156,False,Inlier,False
36,36,1.100000,2.200000,2.700000,-1.000000,Cases 15-75 (regular),1.860052,3.338156,False,Inlier,False
37,37,0.100000,3.000000,2.600000,-0.600000,Cases 15-75 (regular),2.131575,3.338156,False,Inlier,False
38,38,1.500000,1.200000,0.200000,0.900000,Cases 15-75 (regular),2.129167,3.338156,False,Inlier,False
39,39,2.100000,0.000000,1.200000,-0.700000,Cases 15-75 (regular),2.210146,3.338156,False,Inlier,False
40,40,0.500000,2.000000,1.200000,-0.500000,Cases 15-75 (regular),1.332969,3.338156,False,Inlier,False
41,41,3.400000,1.600000,2.900000,-0.100000,Cases 15-75 (regular),2.062668,3.338156,False,Inlier,False
42,42,0.300000,1.000000,2.700000,-0.700000,Cases 15-75 (regular),1.983501,3.338156,False,Inlier,False
43,43,0.100000,3.300000,0.900000,0.600000,Cases 15-75 (regular),2.491564,3.338156,False,Inlier,False
44,44,1.800000,0.500000,3.200000,-0.700000,Cases 15-75 (regular),2.210067,3.338156,False,Inlier,False
45,45,1.900000,0.100000,0.600000,-0.500000,Cases 15-75 (regular),2.120264,3.338156,False,Inlier,False
46,46,1.800000,0.500000,3.000000,-0.400000,Cases 15-75 (regular),1.916510,3.338156,False,Inlier,False
47,47,3.000000,0.100000,0.800000,-0.900000,Cases 15-75 (regular),2.933015,3.338156,False,Inlier,False
48,48,3.100000,1.600000,3.000000,0.100000,Cases 15-75 (regular),1.941308,3.338156,False,Inlier,False
49,49,3.100000,2.500000,1.900000,0.900000,Cases 15-75 (regular),2.287473,3.338156,False,Inlier,False
50,50,2.100000,2.800000,2.900000,-0.400000,Cases 15-75 (regular),1.551936,3.338156,False,Inlier,False
51,51,2.300000,1.500000,0.400000,0.700000,Cases 15-75 (regular),1.873573,3.338156,False,Inlier,False
52,52,3.300000,0.600000,1.200000,-0.500000,Cases 15-75 (regular),2.358965,3.338156,False,Inlier,False
53,53,0.300000,0.400000,3.300000,0.700000,Cases 15-75 (regular),3.174482,3.338156,False,Inlier,False
54,54,1.100000,3.000000,0.300000,0.700000,Cases 15-75 (regular),2.249025,3.338156,False,Inlier,False
55,55,0.500000,2.400000,0.900000,0.000000,Cases 15-75 (regular),1.388212,3.338156,False,Inlier,False
56,56,1.800000,3.200000,0.900000,0.100000,Cases 15-75 (regular),1.661846,3.338156,False,Inlier,False
57,57,1.800000,0.700000,0.700000,0.700000,Cases 15-75 (regular),1.834911,3.338156,False,Inlier,False
58,58,2.400000,3.400000,1.500000,-0.100000,Cases 15-75 (regular),1.770354,3.338156,False,Inlier,False
59,59,1.600000,2.100000,3.000000,-0.300000,Cases 15-75 (regular),1.301381,3.338156,False,Inlier,False
60,60,0.300000,1.500000,3.300000,-0.900000,Cases 15-75 (regular),2.361005,3.338156,False,Inlier,False
61,61,0.400000,3.400000,3.000000,-0.300000,Cases 15-75 (regular),2.262770,3.338156,False,Inlier,False
62,62,0.900000,0.100000,0.300000,0.600000,Cases 15-75 (regular),2.272950,3.338156,False,Inlier,False
63,63,1.100000,2.700000,0.200000,-0.300000,Cases 15-75 (regular),1.939176,3.338156,False,Inlier,False
64,64,2.800000,3.000000,2.900000,-0.500000,Cases 15-75 (regular),2.002359,3.338156,False,Inlier,False
65,65,2.000000,0.700000,2.700000,0.600000,Cases 15-75 (regular),2.099401,3.338156,False,Inlier,False
66,66,0.200000,1.800000,0.800000,-0.900000,Cases 15-75 (regular),2.129222,3.338156,False,Inlier,False
