dataset,model,term,estimate
boston_housing,OLS,Intercept,41.61727017595498
boston_housing,OLS,CRIM,-0.12138861842282443
boston_housing,OLS,ZN,0.046963463299777033
boston_housing,OLS,INDUS,0.013467694669068346
boston_housing,OLS,CHAS,2.8399933827285535
boston_housing,OLS,NOX,-18.758022005241127
boston_housing,OLS,RM,3.6581190417791603
boston_housing,OLS,AGE,0.003610710547082962
boston_housing,OLS,DIS,-1.490753650079662
boston_housing,OLS,RAD,0.28940452062087985
boston_housing,OLS,TAX,-0.012681981258357344
boston_housing,OLS,PTRATIO,-0.9375328998398257
boston_housing,OLS,LSTAT,-0.5520191011638873
boston_housing,LAD,Intercept,26.14277067251706
boston_housing,LAD,CRIM,-0.1270149535874233
boston_housing,LAD,ZN,0.04062706921118661
boston_housing,LAD,INDUS,0.009750385505852641
boston_housing,LAD,CHAS,1.4030888328753797
boston_housing,LAD,NOX,-11.959261988109064
boston_housing,LAD,RM,4.69827874901368
boston_housing,LAD,AGE,-0.018908733460464375
boston_housing,LAD,DIS,-1.0586741473592056
boston_housing,LAD,RAD,0.1700936415793538
boston_housing,LAD,TAX,-0.011075921749481068
boston_housing,LAD,PTRATIO,-0.8043095958765694
boston_housing,LAD,LSTAT,-0.3552466128715683
concrete_strength,OLS,Intercept,-23.163755811074353
concrete_strength,OLS,Cement,0.11978525502979384
concrete_strength,OLS,BlastFurnaceSlag,0.10384724887919014
concrete_strength,OLS,FlyAsh,0.08794308167595663
concrete_strength,OLS,Water,-0.1502979043353174
concrete_strength,OLS,Superplasticizer,0.2906869434566608
concrete_strength,OLS,CoarseAggregate,0.018030183596319485
concrete_strength,OLS,FineAggregate,0.020154455674957168
concrete_strength,OLS,Age,0.11422562006932478
concrete_strength,LAD,Intercept,-68.4135268657476
concrete_strength,LAD,Cement,0.14319236729727064
concrete_strength,LAD,BlastFurnaceSlag,0.1244085657269946
concrete_strength,LAD,FlyAsh,0.11552783996498472
concrete_strength,LAD,Water,-0.1028286724509966
concrete_strength,LAD,Superplasticizer,0.16194709910020558
concrete_strength,LAD,CoarseAggregate,0.02799674638472506
concrete_strength,LAD,FineAggregate,0.04243319866162493
concrete_strength,LAD,Age,0.15498873806141225
hbk,OLS,Intercept,-0.3875495459254184
hbk,OLS,X1,0.23918479170994628
hbk,OLS,X2,-0.33454847682574845
hbk,OLS,X3,0.383340815249149
hbk,LAD,Intercept,-0.8814744771720853
hbk,LAD,X1,0.09131167951082098
hbk,LAD,X2,0.15476021622303276
hbk,LAD,X3,0.2146470616046507
synthetic,OLS,Intercept,7.206171842516639
synthetic,OLS,X1,3.2172734698922767
synthetic,OLS,X2,-2.6188012025523015
synthetic,OLS,X3,5.082876950445224
synthetic,LAD,Intercept,5.442797287732047
synthetic,LAD,X1,3.46551122234167
synthetic,LAD,X2,-2.7751857510177547
synthetic,LAD,X3,4.651218582995624
