n,p,repetition,model,runtime_seconds
50,1,0,OLS,6.289800001013646e-05
50,1,0,LAD,0.0022496699999692282
50,1,1,OLS,7.899800004906865e-05
50,1,1,LAD,0.001843090999955166
50,1,2,OLS,7.38879999744313e-05
50,1,2,LAD,0.001850303999958669
50,1,3,OLS,7.305700000870274e-05
50,1,3,LAD,0.0018500930000300286
50,1,4,OLS,4.719699995803239e-05
50,1,4,LAD,0.0018557539999619621
50,3,0,OLS,4.57549999737239e-05
50,3,0,LAD,0.0019539170000371087
50,3,1,OLS,4.553500002657529e-05
50,3,1,LAD,0.0019257249999782289
50,3,2,OLS,4.5745999955215666e-05
50,3,2,LAD,0.0020995899999434187
50,3,3,OLS,4.51150000344569e-05
50,3,3,LAD,0.0019920290000072782
50,3,4,OLS,4.485299996304093e-05
50,3,4,LAD,0.0019346109999105465
50,5,0,OLS,5.0875000056294084e-05
50,5,0,LAD,0.002162896999948316
50,5,1,OLS,5.3099999945516174e-05
50,5,1,LAD,0.002049375000069631
50,5,2,OLS,5.1365999979680055e-05
50,5,2,LAD,0.0020699839999451797
50,5,3,OLS,9.70610000194938e-05
50,5,3,LAD,0.002114027000061469
50,5,4,OLS,5.15870000299401e-05
50,5,4,LAD,0.002053543000101854
100,1,0,OLS,4.5574999944619776e-05
100,1,0,LAD,0.002782123000088177
100,1,1,OLS,4.023500002858782e-05
100,1,1,LAD,0.0028315160000147443
100,1,2,OLS,4.049500000746775e-05
100,1,2,LAD,0.0028036129999691184
100,1,3,OLS,4.0194999996856495e-05
100,1,3,LAD,0.0028098850000333186
100,1,4,OLS,4.0194999996856495e-05
100,1,4,LAD,0.0028583360000311586
100,3,0,OLS,4.721800007700949e-05
100,3,0,LAD,0.0029795020000165096
100,3,1,OLS,4.7188000053211e-05
100,3,1,LAD,0.0030434310000373443
100,3,2,OLS,4.6386000008169503e-05
100,3,2,LAD,0.003026670000053855
100,3,3,OLS,4.66669999923397e-05
100,3,3,LAD,0.003007694999951127
100,3,4,OLS,4.6738000037294114e-05
100,3,4,LAD,0.003016440000010334
100,5,0,OLS,5.379000003813417e-05
100,5,0,LAD,0.0032484230000591197
100,5,1,OLS,9.522699997432937e-05
100,5,1,LAD,0.00330660200006605
100,5,2,OLS,5.3839999964111485e-05
100,5,2,LAD,0.0032996499999171647
100,5,3,OLS,5.530399994313484e-05
100,5,3,LAD,0.0032568689999834533
100,5,4,OLS,5.5572999940523005e-05
100,5,4,LAD,0.0032768970000915942
250,1,0,OLS,4.2419000010340824e-05
250,1,0,LAD,0.00660259500000393
250,1,1,OLS,4.349100004219508e-05
250,1,1,LAD,0.006431145000078686
250,1,2,OLS,4.2839999991883815e-05
250,1,2,LAD,0.006461361999981818
250,1,3,OLS,4.289000003154797e-05
250,1,3,LAD,0.0065109239999401325
250,1,4,OLS,4.240900000240799e-05
250,1,4,LAD,0.006481728999915504
250,3,0,OLS,5.44320000699372e-05
250,3,0,LAD,0.007336635000001479
250,3,1,OLS,5.396099993504322e-05
250,3,1,LAD,0.00731737000000976
250,3,2,OLS,5.1946999974461505e-05
250,3,2,LAD,0.007309785999950691
250,3,3,OLS,5.1536000000851345e-05
250,3,3,LAD,0.007440999999971609
250,3,4,OLS,5.084500003249559e-05
250,3,4,LAD,0.007327237000026798
250,5,0,OLS,6.062300008125021e-05
250,5,0,LAD,0.008185819999994237
250,5,1,OLS,5.9561000057328783e-05
250,5,1,LAD,0.00820158999999876
250,5,2,OLS,6.172500002321613e-05
250,5,2,LAD,0.008155183000098987
250,5,3,OLS,6.058299993583205e-05
250,5,3,LAD,0.007949770000095668
250,5,4,OLS,5.9081000017613405e-05
250,5,4,LAD,0.008173327000008612
500,1,0,OLS,4.647600007956498e-05
500,1,0,LAD,0.0181422160000011
500,1,1,OLS,5.7017000017367536e-05
500,1,1,LAD,0.016113067999981467
500,1,2,OLS,4.9633000003268535e-05
500,1,2,LAD,0.017139024000016434
500,1,3,OLS,6.898900005580799e-05
500,1,3,LAD,0.01927185499994266
500,1,4,OLS,6.15750000179105e-05
500,1,4,LAD,0.016579470000010588
500,3,0,OLS,7.261600001129409e-05
500,3,0,LAD,0.01910453300001791
500,3,1,OLS,7.458900006440672e-05
500,3,1,LAD,0.019289027000013448
500,3,2,OLS,7.477899998775683e-05
500,3,2,LAD,0.019207253999979912
500,3,3,OLS,7.546099993760436e-05
500,3,3,LAD,0.019161729999950694
500,3,4,OLS,7.798599995112454e-05
500,3,4,LAD,0.0190708600000562
500,5,0,OLS,7.997900002010283e-05
500,5,0,LAD,0.021604840000009062
500,5,1,OLS,8.32050000099116e-05
500,5,1,LAD,0.02143379099993581
500,5,2,OLS,8.048999995935446e-05
500,5,2,LAD,0.0211212469999964
500,5,3,OLS,7.920799998828443e-05
500,5,3,LAD,0.02143841899999188
500,5,4,OLS,8.582999998907326e-05
500,5,4,LAD,0.02168105199996262
