Dataset,FitCondition,Model,Rows,Predictors,Repetitions,MeanMilliseconds,SDMilliseconds,MinMilliseconds,Q1Milliseconds,MedianMilliseconds,Q3Milliseconds,MaxMilliseconds,OLSMedianMilliseconds,MedianRelativeToOLS
Boston Housing,Full data,OLS,506,12,30,0.44723,0.05830069586,0.4086,0.41775,0.42785,0.44,0.6776,0.42785,1
Boston Housing,Full data,LAD,506,12,30,31.82345333,0.4370697962,31.3839,31.5815,31.686,31.83955,33.372,0.42785,74.05866542
Boston Housing,Inliers only,OLS,357,12,30,0.37716,0.01138866951,0.3628,0.36965,0.3741,0.383275,0.4148,0.3741,1
Boston Housing,Inliers only,LAD,357,12,30,19.32050667,0.3118188454,18.9485,19.1299,19.2356,19.42675,20.3886,0.3741,51.41833734
Concrete Strength,Full data,OLS,1030,8,30,0.53309,0.01670967818,0.5166,0.522575,0.5288,0.53625,0.6046,0.5288,1
Concrete Strength,Full data,LAD,1030,8,30,86.23922,0.8927172806,84.8078,85.683975,86.0331,86.741375,88.0488,0.5288,162.6949697
Concrete Strength,Inliers only,OLS,837,8,30,0.50025,0.1065916725,0.4437,0.454375,0.46295,0.4795,0.8905,0.46295,1
Concrete Strength,Inliers only,LAD,837,8,30,61.61141,0.8157441149,60.1984,61.18165,61.4718,61.871125,63.3388,0.46295,132.7828059
Hawkins-Bradu-Kass (HBK),Full data,OLS,75,3,30,0.26948,0.01020781986,0.2564,0.26125,0.26655,0.27605,0.2976,0.26655,1
Hawkins-Bradu-Kass (HBK),Full data,LAD,75,3,30,2.47536,0.0685464836,2.3972,2.4331,2.4545,2.495175,2.6724,0.26655,9.208403677
Hawkins-Bradu-Kass (HBK),Inliers only,OLS,61,3,30,0.2788933333,0.03080278686,0.2504,0.25705,0.2676,0.29595,0.3913,0.2676,1
Hawkins-Bradu-Kass (HBK),Inliers only,LAD,61,3,30,2.17243,0.1165369385,2.0944,2.103825,2.12985,2.1882,2.4989,0.2676,7.959080717
Synthetic OLS-LAD,Full data,OLS,90,3,30,0.2911633333,0.03563392885,0.2588,0.2734,0.27975,0.298525,0.4298,0.27975,1
Synthetic OLS-LAD,Full data,LAD,90,3,30,2.57359,0.09648853907,2.4783,2.514,2.5375,2.597775,2.8947,0.27975,9.070598749
Synthetic OLS-LAD,Inliers only,OLS,78,3,30,0.27089,0.01021602359,0.2579,0.264425,0.26925,0.274875,0.3086,0.26925,1
Synthetic OLS-LAD,Inliers only,LAD,78,3,30,2.3802,0.02142468766,2.3461,2.363425,2.37345,2.39685,2.4312,0.26925,8.815041783
