Dataset,FitCondition,Model,Term,Estimate
Boston Housing,Full data,OLS,Intercept,41.61727018
Boston Housing,Full data,OLS,CRIM,-0.1213886184
Boston Housing,Full data,OLS,ZN,0.0469634633
Boston Housing,Full data,OLS,INDUS,0.01346769467
Boston Housing,Full data,OLS,CHAS,2.839993383
Boston Housing,Full data,OLS,NOX,-18.75802201
Boston Housing,Full data,OLS,RM,3.658119042
Boston Housing,Full data,OLS,AGE,0.003610710547
Boston Housing,Full data,OLS,DIS,-1.49075365
Boston Housing,Full data,OLS,RAD,0.2894045206
Boston Housing,Full data,OLS,TAX,-0.01268198126
Boston Housing,Full data,OLS,PTRATIO,-0.9375328998
Boston Housing,Full data,OLS,LSTAT,-0.5520191012
Boston Housing,Full data,LAD,Intercept,26.14277067
Boston Housing,Full data,LAD,CRIM,-0.1270149536
Boston Housing,Full data,LAD,ZN,0.04062706921
Boston Housing,Full data,LAD,INDUS,0.009750385506
Boston Housing,Full data,LAD,CHAS,1.403088833
Boston Housing,Full data,LAD,NOX,-11.95926199
Boston Housing,Full data,LAD,RM,4.698278749
Boston Housing,Full data,LAD,AGE,-0.01890873346
Boston Housing,Full data,LAD,DIS,-1.058674147
Boston Housing,Full data,LAD,RAD,0.1700936416
Boston Housing,Full data,LAD,TAX,-0.01107592175
Boston Housing,Full data,LAD,PTRATIO,-0.8043095959
Boston Housing,Full data,LAD,LSTAT,-0.3552466129
Boston Housing,Inliers only,OLS,Intercept,25.76502072
Boston Housing,Inliers only,OLS,CRIM,-0.3981416199
Boston Housing,Inliers only,OLS,ZN,-0.01028855598
Boston Housing,Inliers only,OLS,INDUS,-0.08386181448
Boston Housing,Inliers only,OLS,CHAS,2.009809016
Boston Housing,Inliers only,OLS,NOX,-14.50118331
Boston Housing,Inliers only,OLS,RM,4.782367
Boston Housing,Inliers only,OLS,AGE,-0.02203910644
Boston Housing,Inliers only,OLS,DIS,-0.979784906
Boston Housing,Inliers only,OLS,RAD,0.2896341815
Boston Housing,Inliers only,OLS,TAX,-0.0102149664
Boston Housing,Inliers only,OLS,PTRATIO,-0.7292660368
Boston Housing,Inliers only,OLS,LSTAT,-0.3438291921
Boston Housing,Inliers only,LAD,Intercept,19.99811558
Boston Housing,Inliers only,LAD,CRIM,-0.5296923671
Boston Housing,Inliers only,LAD,ZN,0.01126306491
Boston Housing,Inliers only,LAD,INDUS,-0.06155568763
Boston Housing,Inliers only,LAD,CHAS,2.310981356
Boston Housing,Inliers only,LAD,NOX,-9.575947657
Boston Housing,Inliers only,LAD,RM,4.976903745
Boston Housing,Inliers only,LAD,AGE,-0.02865206404
Boston Housing,Inliers only,LAD,DIS,-0.9501396515
Boston Housing,Inliers only,LAD,RAD,0.2509050572
Boston Housing,Inliers only,LAD,TAX,-0.00724174151
Boston Housing,Inliers only,LAD,PTRATIO,-0.7035817153
Boston Housing,Inliers only,LAD,LSTAT,-0.3016570272
Concrete Strength,Full data,OLS,Intercept,-23.16375581
Concrete Strength,Full data,OLS,Cement,0.119785255
Concrete Strength,Full data,OLS,BlastFurnaceSlag,0.1038472489
Concrete Strength,Full data,OLS,FlyAsh,0.08794308168
Concrete Strength,Full data,OLS,Water,-0.1502979043
Concrete Strength,Full data,OLS,Superplasticizer,0.2906869435
Concrete Strength,Full data,OLS,CoarseAggregate,0.0180301836
Concrete Strength,Full data,OLS,FineAggregate,0.02015445567
Concrete Strength,Full data,OLS,Age,0.1142256201
Concrete Strength,Full data,LAD,Intercept,-68.41352687
Concrete Strength,Full data,LAD,Cement,0.1431923673
Concrete Strength,Full data,LAD,BlastFurnaceSlag,0.1244085657
Concrete Strength,Full data,LAD,FlyAsh,0.11552784
Concrete Strength,Full data,LAD,Water,-0.1028286725
Concrete Strength,Full data,LAD,Superplasticizer,0.1619470991
Concrete Strength,Full data,LAD,CoarseAggregate,0.02799674638
Concrete Strength,Full data,LAD,FineAggregate,0.04243319866
Concrete Strength,Full data,LAD,Age,0.1549887381
Concrete Strength,Inliers only,OLS,Intercept,56.988864
Concrete Strength,Inliers only,OLS,Cement,0.09386837158
Concrete Strength,Inliers only,OLS,BlastFurnaceSlag,0.07002203066
Concrete Strength,Inliers only,OLS,FlyAsh,0.03678860477
Concrete Strength,Inliers only,OLS,Water,-0.228883896
Concrete Strength,Inliers only,OLS,Superplasticizer,0.4392444175
Concrete Strength,Inliers only,OLS,CoarseAggregate,-0.01059364737
Concrete Strength,Inliers only,OLS,FineAggregate,-0.02111570423
Concrete Strength,Inliers only,OLS,Age,0.3179965973
Concrete Strength,Inliers only,LAD,Intercept,34.84597323
Concrete Strength,Inliers only,LAD,Cement,0.1046292998
Concrete Strength,Inliers only,LAD,BlastFurnaceSlag,0.07282063074
Concrete Strength,Inliers only,LAD,FlyAsh,0.04138226326
Concrete Strength,Inliers only,LAD,Water,-0.1976716548
Concrete Strength,Inliers only,LAD,Superplasticizer,0.4402183842
Concrete Strength,Inliers only,LAD,CoarseAggregate,-0.004963797824
Concrete Strength,Inliers only,LAD,FineAggregate,-0.01133095325
Concrete Strength,Inliers only,LAD,Age,0.3116355468
Hawkins-Bradu-Kass (HBK),Full data,OLS,Intercept,-0.3875495459
Hawkins-Bradu-Kass (HBK),Full data,OLS,X1,0.2391847917
Hawkins-Bradu-Kass (HBK),Full data,OLS,X2,-0.3345484768
Hawkins-Bradu-Kass (HBK),Full data,OLS,X3,0.3833408152
Hawkins-Bradu-Kass (HBK),Full data,LAD,Intercept,-0.8814744772
Hawkins-Bradu-Kass (HBK),Full data,LAD,X1,0.09131167951
Hawkins-Bradu-Kass (HBK),Full data,LAD,X2,0.1547602162
Hawkins-Bradu-Kass (HBK),Full data,LAD,X3,0.2146470616
Hawkins-Bradu-Kass (HBK),Inliers only,OLS,Intercept,-0.01046439417
Hawkins-Bradu-Kass (HBK),Inliers only,OLS,X1,0.06237135536
Hawkins-Bradu-Kass (HBK),Inliers only,OLS,X2,0.01193108058
Hawkins-Bradu-Kass (HBK),Inliers only,OLS,X3,-0.1069759032
Hawkins-Bradu-Kass (HBK),Inliers only,LAD,Intercept,-0.1603092784
Hawkins-Bradu-Kass (HBK),Inliers only,LAD,X1,0.118556701
Hawkins-Bradu-Kass (HBK),Inliers only,LAD,X2,0.05670103093
Hawkins-Bradu-Kass (HBK),Inliers only,LAD,X3,-0.1494845361
Synthetic OLS-LAD,Full data,OLS,Intercept,7.206171843
Synthetic OLS-LAD,Full data,OLS,X1,3.21727347
Synthetic OLS-LAD,Full data,OLS,X2,-2.618801203
Synthetic OLS-LAD,Full data,OLS,X3,5.08287695
Synthetic OLS-LAD,Full data,LAD,Intercept,5.442797288
Synthetic OLS-LAD,Full data,LAD,X1,3.465511222
Synthetic OLS-LAD,Full data,LAD,X2,-2.775185751
Synthetic OLS-LAD,Full data,LAD,X3,4.651218583
Synthetic OLS-LAD,Inliers only,OLS,Intercept,5.738223699
Synthetic OLS-LAD,Inliers only,OLS,X1,3.260888032
Synthetic OLS-LAD,Inliers only,OLS,X2,-2.479908369
Synthetic OLS-LAD,Inliers only,OLS,X3,2.811407793
Synthetic OLS-LAD,Inliers only,LAD,Intercept,5.273086362
Synthetic OLS-LAD,Inliers only,LAD,X1,3.51439479
Synthetic OLS-LAD,Inliers only,LAD,X2,-2.8240163
Synthetic OLS-LAD,Inliers only,LAD,X3,2.858173855
