Dataset,FitCondition,EvaluationSet,Model,TrainingRows,EvaluationRows,SAE,SSE,MAE,RMSE,MedianAbsoluteError,R2
Boston Housing,Full data,Full data,OLS,506,506,1698.290859,11349.41881,3.356306046,4.735998463,2.490327242,0.7343070438
Boston Housing,Full data,Full data,LAD,506,506,1611.011,12469.79317,3.183816206,4.964258255,2.088611869,0.7080787776
Boston Housing,Full data,Inliers only,OLS,506,357,947.60165,4151.360002,2.654346359,3.410052696,2.251027892,0.7516971477
Boston Housing,Full data,Inliers only,LAD,506,357,863.1508973,3661.102198,2.417789628,3.202372282,1.872797263,0.7810206492
Boston Housing,Inliers only,Full data,OLS,357,506,1788.377479,15686.63012,3.534342845,5.567876193,2.236759963,0.6327717567
Boston Housing,Inliers only,Full data,LAD,357,506,1814.462839,18292.04762,3.585894939,6.012511267,1.969824277,0.5717782303
Boston Housing,Inliers only,Inliers only,OLS,357,357,843.9809236,3379.185215,2.364092223,3.076606053,1.860084881,0.7978827838
Boston Housing,Inliers only,Inliers only,LAD,357,357,821.5300185,3500.351783,2.301204534,3.131278805,1.708094829,0.7906355191
Concrete Strength,Full data,Full data,OLS,1030,1030,8461.346375,110428.1568,8.214899393,10.35431324,6.519325727,0.6154647343
Concrete Strength,Full data,Full data,LAD,1030,1030,8289.485903,119464.5796,8.048044566,10.76963457,6.048537572,0.5839979114
Concrete Strength,Full data,Inliers only,OLS,1030,837,6434.015931,77720.40679,7.686996334,9.636177774,6.222566096,0.6537546163
Concrete Strength,Full data,Inliers only,LAD,1030,837,5879.093057,68775.16797,7.024006042,9.064693015,5.553777668,0.693605767
Concrete Strength,Inliers only,Full data,OLS,837,1030,9730.95571,306579.111,9.447529815,17.2525251,5.759644961,-0.06757627145
Concrete Strength,Inliers only,Full data,LAD,837,1030,9602.24744,297246.5258,9.32257033,16.98790334,5.38744402,-0.03507814551
Concrete Strength,Inliers only,Inliers only,OLS,837,837,4946.421337,48676.07072,5.909702911,7.625968863,4.845670809,0.7831474965
Concrete Strength,Inliers only,Inliers only,LAD,837,837,4914.161058,49196.21444,5.871160165,7.666605457,4.707132021,0.7808302497
Hawkins-Bradu-Kass (HBK),Full data,Full data,OLS,75,75,103.4689601,359.4857257,1.379586135,2.189324784,0.7258667607,0.6018039947
Hawkins-Bradu-Kass (HBK),Full data,Full data,LAD,75,75,86.74286953,587.7325458,1.156571594,2.799363132,0.5514144327,0.3489790131
Hawkins-Bradu-Kass (HBK),Full data,Inliers only,OLS,75,61,42.81348498,42.6517346,0.7018604095,0.8361870389,0.653046991,-1.240343584
Hawkins-Bradu-Kass (HBK),Full data,Inliers only,LAD,75,61,33.87418247,27.23511849,0.5553144667,0.6681896081,0.5317211164,-0.4305636931
Hawkins-Bradu-Kass (HBK),Inliers only,Full data,OLS,61,75,163.4043368,1578.30506,2.178724491,4.587381329,0.5852298372,-0.7482607093
Hawkins-Bradu-Kass (HBK),Inliers only,Full data,LAD,61,75,161.7654639,1560.349704,2.156872852,4.561212857,0.5690721649,-0.7283718785
Hawkins-Bradu-Kass (HBK),Inliers only,Inliers only,OLS,61,61,28.71545354,18.1401238,0.4707451401,0.5453247461,0.4505906103,0.04716395851
Hawkins-Bradu-Kass (HBK),Inliers only,Inliers only,LAD,61,61,28.47525773,18.74625252,0.4668075038,0.5543605462,0.4809278351,0.01532617713
Synthetic OLS-LAD,Full data,Full data,OLS,90,90,289.5947467,1555.541142,3.217719408,4.157377835,2.576671169,0.9885800117
Synthetic OLS-LAD,Full data,Full data,LAD,90,90,274.6642925,1860.67772,3.051825472,4.546888705,2.196777974,0.9863398549
Synthetic OLS-LAD,Full data,Inliers only,OLS,90,78,226.8647288,1023.613093,2.908522163,3.622601935,2.412438416,0.8730613653
Synthetic OLS-LAD,Full data,Inliers only,LAD,90,78,192.3759875,783.5621056,2.466358814,3.169490183,2.095978743,0.9028301762
Synthetic OLS-LAD,Inliers only,Full data,OLS,78,90,503.0912387,13991.97976,5.589902652,12.46861828,1.965163992,0.8972780336
Synthetic OLS-LAD,Inliers only,Full data,LAD,78,90,445.3801392,10685.30008,4.948668213,10.89612575,1.999911844,0.9215539863
Synthetic OLS-LAD,Inliers only,Inliers only,OLS,78,78,148.3500027,436.2769037,1.901923112,2.365014511,1.694885813,0.9458971414
Synthetic OLS-LAD,Inliers only,Inliers only,LAD,78,78,145.1399729,448.0213621,1.860768883,2.396635896,1.510322073,0.9444407068
