Dataset,FitCondition,EvaluationSet,TrainingRows,EvaluationRows,OLS_SAE,LAD_SAE,LADMinusOLS_SAE,LADReductionPercent_SAE,LADWins_SAE,OLS_SSE,LAD_SSE,LADMinusOLS_SSE,LADReductionPercent_SSE,LADWins_SSE,OLS_MAE,LAD_MAE,LADMinusOLS_MAE,LADReductionPercent_MAE,LADWins_MAE,OLS_RMSE,LAD_RMSE,LADMinusOLS_RMSE,LADReductionPercent_RMSE,LADWins_RMSE,OLS_MedianAbsoluteError,LAD_MedianAbsoluteError,LADMinusOLS_MedianAbsoluteError,LADReductionPercent_MedianAbsoluteError,LADWins_MedianAbsoluteError,OLS_R2,LAD_R2,LADMinusOLS_R2,LADWins_R2
Boston Housing,Full data,Full data,506,506,1698.290859,1611.011,-87.279859,5.139276263,True,11349.41881,12469.79317,1120.37436,-9.871645225,False,3.356306046,3.183816206,-0.17248984,5.139276265,True,4.735998463,4.964258255,0.228259792,-4.819676226,False,2.490327242,2.088611869,-0.401715373,16.13102753,True,0.7343070438,0.7080787776,-0.0262282662,False
Boston Housing,Full data,Inliers only,506,357,947.60165,863.1508973,-84.4507527,8.912052095,True,4151.360002,3661.102198,-490.257804,11.80957093,True,2.654346359,2.417789628,-0.236556731,8.912052122,True,3.410052696,3.202372282,-0.207680414,6.090240607,True,2.251027892,1.872797263,-0.378230629,16.80257407,True,0.7516971477,0.7810206492,0.0293235015,True
Boston Housing,Inliers only,Full data,357,506,1788.377479,1814.462839,26.08536,-1.458604814,False,15686.63012,18292.04762,2605.4175,-16.60916003,False,3.534342845,3.585894939,0.051552094,-1.458604789,False,5.567876193,6.012511267,0.444635074,-7.98572128,False,2.236759963,1.969824277,-0.266935686,11.93403362,True,0.6327717567,0.5717782303,-0.0609935264,False
Boston Housing,Inliers only,Inliers only,357,357,843.9809236,821.5300185,-22.4509051,2.660119971,True,3379.185215,3500.351783,121.166568,-3.585674069,False,2.364092223,2.301204534,-0.062887689,2.660119956,True,3.076606053,3.131278805,0.054672752,-1.777047534,False,1.860084881,1.708094829,-0.151990052,8.171135283,True,0.7978827838,0.7906355191,-0.0072472647,False
Concrete Strength,Full data,Full data,1030,1030,8461.346375,8289.485903,-171.860472,2.031124414,True,110428.1568,119464.5796,9036.4228,-8.183078539,False,8.214899393,8.048044566,-0.166854827,2.031124412,True,10.35431324,10.76963457,0.41532133,-4.011094897,False,6.519325727,6.048537572,-0.470788155,7.221424035,True,0.6154647343,0.5839979114,-0.0314668229,False
Concrete Strength,Full data,Inliers only,1030,837,6434.015931,5879.093057,-554.922874,8.624829033,True,77720.40679,68775.16797,-8945.23882,11.50951107,True,7.686996334,7.024006042,-0.662990292,8.624829038,True,9.636177774,9.064693015,-0.571484759,5.930616603,True,6.222566096,5.553777668,-0.668788428,10.74779147,True,0.6537546163,0.693605767,0.0398511507,True
Concrete Strength,Inliers only,Full data,837,1030,9730.95571,9602.24744,-128.70827,1.322668336,True,306579.111,297246.5258,-9332.5852,3.044103419,True,9.447529815,9.32257033,-0.124959485,1.322668332,True,17.2525251,16.98790334,-0.26462176,1.533814665,True,5.759644961,5.38744402,-0.372200941,6.462220215,True,-0.06757627145,-0.03507814551,0.03249812594,True
Concrete Strength,Inliers only,Inliers only,837,837,4946.421337,4914.161058,-32.260279,0.6521943199,True,48676.07072,49196.21444,520.14372,-1.068581979,False,5.909702911,5.871160165,-0.038542746,0.6521943079,True,7.625968863,7.666605457,0.040636594,-0.532871229,False,4.845670809,4.707132021,-0.138538788,2.859021866,True,0.7831474965,0.7808302497,-0.0023172468,False
Hawkins-Bradu-Kass (HBK),Full data,Full data,75,75,103.4689601,86.74286953,-16.72609057,16.165322,True,359.4857257,587.7325458,228.2468201,-63.49259617,False,1.379586135,1.156571594,-0.223014541,16.165322,True,2.189324784,2.799363132,0.610038348,-27.86422337,False,0.7258667607,0.5514144327,-0.174452328,24.03365706,True,0.6018039947,0.3489790131,-0.2528249816,False
Hawkins-Bradu-Kass (HBK),Full data,Inliers only,75,61,42.81348498,33.87418247,-8.93930251,20.87964228,True,42.6517346,27.23511849,-15.41661611,36.14534381,True,0.7018604095,0.5553144667,-0.1465459428,20.87964228,True,0.8361870389,0.6681896081,-0.1679974308,20.09089151,True,0.653046991,0.5317211164,-0.1213258746,18.57842947,True,-1.240343584,-0.4305636931,0.8097798909,True
Hawkins-Bradu-Kass (HBK),Inliers only,Full data,61,75,163.4043368,161.7654639,-1.6388729,1.002955571,True,1578.30506,1560.349704,-17.955356,1.137635331,True,2.178724491,2.156872852,-0.021851639,1.002955587,True,4.587381329,4.561212857,-0.026168472,0.5704446638,True,0.5852298372,0.5690721649,-0.0161576723,2.760910547,True,-0.7482607093,-0.7283718785,0.0198888308,True
Hawkins-Bradu-Kass (HBK),Inliers only,Inliers only,61,61,28.71545354,28.47525773,-0.24019581,0.8364688013,True,18.1401238,18.74625252,0.60612872,-3.34137036,False,0.4707451401,0.4668075038,-0.0039376363,0.836468816,True,0.5453247461,0.5543605462,0.0090358001,-1.65695765,False,0.4505906103,0.4809278351,0.0303372248,-6.732768972,False,0.04716395851,0.01532617713,-0.03183778138,False
Synthetic OLS-LAD,Full data,Full data,90,90,289.5947467,274.6642925,-14.9304542,5.1556371,True,1555.541142,1860.67772,305.136578,-19.61610463,False,3.217719408,3.051825472,-0.165893936,5.155637113,True,4.157377835,4.546888705,0.38951087,-9.369147705,False,2.576671169,2.196777974,-0.379893195,14.74356525,True,0.9885800117,0.9863398549,-0.0022401568,False
Synthetic OLS-LAD,Full data,Inliers only,90,78,226.8647288,192.3759875,-34.4887413,15.20233731,True,1023.613093,783.5621056,-240.0509874,23.45134007,True,2.908522163,2.466358814,-0.442163349,15.20233728,True,3.622601935,3.169490183,-0.453111752,12.50790896,True,2.412438416,2.095978743,-0.316459673,13.11783426,True,0.8730613653,0.9028301762,0.0297688109,True
Synthetic OLS-LAD,Inliers only,Full data,78,90,503.0912387,445.3801392,-57.7110995,11.47129885,True,13991.97976,10685.30008,-3306.67968,23.63267913,True,5.589902652,4.948668213,-0.641234439,11.47129886,True,12.46861828,10.89612575,-1.57249253,12.61160214,True,1.965163992,1.999911844,0.034747852,-1.768190957,False,0.8972780336,0.9215539863,0.0242759527,True
Synthetic OLS-LAD,Inliers only,Inliers only,78,78,148.3500027,145.1399729,-3.2100298,2.163821868,True,436.2769037,448.0213621,11.7444584,-2.691973446,False,1.901923112,1.860768883,-0.041154229,2.16382191,True,2.365014511,2.396635896,0.031621385,-1.337048244,False,1.694885813,1.510322073,-0.18456374,10.88944981,True,0.9458971414,0.9444407068,-0.0014564346,False
