RecordID,ID,X1,X2,X3,y,LeverageDistance,LeverageCutoff,LeverageFlag,MedianRegressionPrediction,MedianRegressionResidual,ResidualRobustZ,ResidualZCutoff,ResponseOutlierFlag,OutlierClass
1,1,0.500000,-0.660000,-0.320000,9.370000,1.761612,3.057516,False,7.518786,1.851214,0.568390,3.500000,False,Regular
2,2,0.750000,-0.460000,0.120000,10.170000,1.795052,3.057516,False,9.876662,0.293338,0.090065,3.500000,False,Regular
3,3,0.990000,-1.400000,-2.170000,10.020000,2.373149,3.057516,False,2.665769,7.354231,2.258016,3.500000,False,Regular
4,4,1.240000,-0.320000,-0.530000,11.120000,1.663503,3.057516,False,8.162945,2.957055,0.907924,3.500000,False,Regular
5,5,1.490000,2.190000,1.090000,6.230000,2.267573,3.057516,False,9.598580,-3.368580,1.034277,3.500000,False,Regular
6,6,1.730000,0.320000,0.020000,8.360000,1.564617,3.057516,False,10.643097,-2.283097,0.700994,3.500000,False,Regular
7,7,1.980000,-0.030000,-0.950000,6.010000,1.630481,3.057516,False,7.969107,-1.959107,0.601517,3.500000,False,Regular
8,8,2.230000,0.680000,0.140000,11.590000,1.506082,3.057516,False,11.934932,-0.344932,0.105907,3.500000,False,Regular
9,9,2.470000,2.080000,0.520000,9.220000,1.663733,3.057516,False,10.648857,-1.428857,0.438711,3.500000,False,Regular
10,10,2.720000,-1.030000,-1.110000,15.690000,2.449459,3.057516,False,12.564577,3.125423,0.959619,3.500000,False,Regular
11,11,2.970000,1.930000,0.110000,11.260000,1.362634,3.057516,False,10.890891,0.369109,0.113330,3.500000,False,Regular
12,12,3.220000,1.580000,-0.040000,7.200000,1.246736,3.057516,False,12.030901,-4.830901,1.483262,3.500000,False,Regular
13,13,3.460000,0.950000,-0.670000,16.570000,1.375867,3.057516,False,11.680723,4.889277,1.501186,3.500000,False,Regular
14,14,3.710000,2.950000,0.160000,10.380000,1.486800,3.057516,False,10.857241,-0.477241,0.146530,3.500000,False,Regular
15,15,3.960000,2.140000,-0.210000,10.740000,1.097097,3.057516,False,12.250568,-1.510568,0.463799,3.500000,False,Regular
16,16,4.200000,1.270000,-1.780000,14.410000,1.664446,3.057516,False,8.194289,6.215711,1.908449,3.500000,False,Regular
17,17,4.450000,0.480000,-3.250000,10.350000,2.762336,3.057516,False,4.415773,5.934227,1.822024,3.500000,False,Regular
18,18,4.700000,4.560000,-0.700000,5.820000,2.414303,3.057516,False,5.820000,0.000000,0.000000,3.500000,False,Regular
19,19,4.940000,2.810000,0.590000,14.980000,1.203083,3.057516,False,17.508370,-2.528370,0.776301,3.500000,False,Regular
20,20,5.190000,4.440000,2.160000,24.360000,2.304014,3.057516,False,21.153608,3.206392,0.984479,3.500000,False,Regular
21,21,5.440000,2.420000,-1.330000,11.390000,1.218618,3.057516,False,11.393108,-0.003108,0.000954,3.500000,False,Regular
22,22,5.680000,3.050000,-1.160000,11.260000,1.094564,3.057516,False,11.267171,-0.007171,0.002202,3.500000,False,Regular
23,23,5.930000,3.730000,-1.140000,11.110000,1.258313,3.057516,False,10.339447,0.770553,0.236588,3.500000,False,Regular
24,24,6.180000,2.860000,0.390000,20.630000,1.294256,3.057516,False,20.736601,-0.106601,0.032730,3.500000,False,Regular
