RecordID,ID,X1,X2,X3,y,RobustDistance,DistanceCutoff,OutlierFlag,OutlierStatus
1,1,0.500000,-0.660000,-0.320000,9.370000,1.982928,3.338156,False,Inlier
2,2,0.750000,-0.460000,0.120000,10.170000,1.912208,3.338156,False,Inlier
3,3,0.990000,-1.400000,-2.170000,10.020000,3.029811,3.338156,False,Inlier
4,4,1.240000,-0.320000,-0.530000,11.120000,2.049334,3.338156,False,Inlier
5,5,1.490000,2.190000,1.090000,6.230000,2.368859,3.338156,False,Inlier
6,6,1.730000,0.320000,0.020000,8.360000,1.814269,3.338156,False,Inlier
7,7,1.980000,-0.030000,-0.950000,6.010000,2.233339,3.338156,False,Inlier
8,8,2.230000,0.680000,0.140000,11.590000,1.569409,3.338156,False,Inlier
9,9,2.470000,2.080000,0.520000,9.220000,1.693739,3.338156,False,Inlier
10,10,2.720000,-1.030000,-1.110000,15.690000,2.662028,3.338156,False,Inlier
11,11,2.970000,1.930000,0.110000,11.260000,1.422795,3.338156,False,Inlier
12,12,3.220000,1.580000,-0.040000,7.200000,2.447075,3.338156,False,Inlier
13,13,3.460000,0.950000,-0.670000,16.570000,2.341855,3.338156,False,Inlier
14,14,3.710000,2.950000,0.160000,10.380000,1.498971,3.338156,False,Inlier
15,15,3.960000,2.140000,-0.210000,10.740000,1.381807,3.338156,False,Inlier
16,16,4.200000,1.270000,-1.780000,14.410000,2.268088,3.338156,False,Inlier
17,17,4.450000,0.480000,-3.250000,10.350000,2.853685,3.338156,False,Inlier
18,18,4.700000,4.560000,-0.700000,5.820000,2.542878,3.338156,False,Inlier
19,19,4.940000,2.810000,0.590000,14.980000,1.352107,3.338156,False,Inlier
20,20,5.190000,4.440000,2.160000,24.360000,3.945758,3.338156,True,Outlier
21,21,5.440000,2.420000,-1.330000,11.390000,1.612793,3.338156,False,Inlier
22,22,5.680000,3.050000,-1.160000,11.260000,1.477085,3.338156,False,Inlier
23,23,5.930000,3.730000,-1.140000,11.110000,1.452661,3.338156,False,Inlier
24,24,6.180000,2.860000,0.390000,20.630000,1.425819,3.338156,False,Inlier
25,25,6.420000,4.010000,-2.280000,12.280000,2.289010,3.338156,False,Inlier
26,26,6.670000,3.290000,-0.160000,14.230000,2.127435,3.338156,False,Inlier
27,27,6.920000,3.810000,0.500000,24.790000,2.430557,3.338156,False,Inlier
28,28,7.160000,5.500000,-1.170000,11.560000,1.940281,3.338156,False,Inlier
29,29,7.410000,3.450000,-2.190000,17.890000,2.084897,3.338156,False,Inlier
30,30,7.660000,4.830000,0.930000,18.640000,1.565982,3.338156,False,Inlier
31,31,7.910000,3.240000,-1.280000,19.790000,1.368403,3.338156,False,Inlier
32,32,8.150000,7.240000,0.660000,15.930000,2.200129,3.338156,False,Inlier
33,33,8.400000,6.380000,2.050000,21.330000,2.173320,3.338156,False,Inlier
34,34,8.650000,4.040000,1.040000,26.090000,1.978686,3.338156,False,Inlier
35,35,8.890000,5.160000,0.080000,21.900000,0.497552,3.338156,False,Inlier
36,36,9.140000,6.780000,0.050000,18.570000,1.235182,3.338156,False,Inlier
37,37,9.390000,6.700000,1.290000,24.370000,1.546682,3.338156,False,Inlier
38,38,9.630000,5.120000,-0.910000,20.080000,1.004625,3.338156,False,Inlier
39,39,9.880000,6.120000,-1.700000,14.440000,2.196452,3.338156,False,Inlier
40,40,10.130000,5.520000,-1.580000,18.560000,1.452046,3.338156,False,Inlier
41,41,10.370000,4.810000,1.160000,34.200000,2.918600,3.338156,False,Inlier
42,42,10.620000,6.390000,-0.060000,27.720000,1.581925,3.338156,False,Inlier
43,43,10.870000,7.520000,-1.590000,20.310000,2.010647,3.338156,False,Inlier
44,44,11.110000,7.450000,0.390000,26.150000,1.054580,3.338156,False,Inlier
45,45,11.360000,6.920000,1.930000,27.180000,2.576688,3.338156,False,Inlier
46,46,11.610000,7.110000,1.820000,31.450000,2.022684,3.338156,False,Inlier
47,47,11.850000,8.470000,-0.290000,23.870000,1.367963,3.338156,False,Inlier
48,48,12.100000,6.290000,-0.040000,27.060000,1.531265,3.338156,False,Inlier
49,49,12.350000,7.720000,0.360000,31.970000,2.003634,3.338156,False,Inlier
50,50,12.590000,5.680000,-2.330000,28.380000,2.315489,3.338156,False,Inlier
51,51,12.840000,8.690000,0.850000,27.820000,1.171583,3.338156,False,Inlier
52,52,13.090000,10.040000,2.040000,30.890000,2.459641,3.338156,False,Inlier
53,53,13.340000,9.960000,0.850000,29.070000,1.955101,3.338156,False,Inlier
54,54,13.580000,7.140000,-1.290000,28.260000,1.262410,3.338156,False,Inlier
55,55,13.830000,8.670000,0.070000,27.570000,1.099456,3.338156,False,Inlier
56,56,14.080000,10.600000,-2.030000,23.900000,3.442154,3.338156,True,Outlier
57,57,14.320000,9.100000,2.120000,35.960000,2.308209,3.338156,False,Inlier
58,58,14.570000,9.840000,0.490000,28.630000,1.357075,3.338156,False,Inlier
59,59,14.820000,10.720000,-1.400000,22.710000,2.414047,3.338156,False,Inlier
60,60,15.060000,9.420000,-1.690000,29.680000,1.970564,3.338156,False,Inlier
61,61,15.310000,8.120000,-0.100000,37.100000,1.862190,3.338156,False,Inlier
62,62,15.560000,9.200000,-1.350000,29.630000,1.276559,3.338156,False,Inlier
63,63,15.800000,8.350000,-1.400000,33.340000,1.639310,3.338156,False,Inlier
64,64,16.050000,9.110000,-0.510000,30.570000,1.964030,3.338156,False,Inlier
65,65,16.300000,11.310000,-0.500000,32.340000,2.022946,3.338156,False,Inlier
66,66,16.540000,10.730000,0.950000,31.290000,2.479587,3.338156,False,Inlier
67,67,16.790000,10.530000,0.390000,36.220000,1.337482,3.338156,False,Inlier
68,68,17.040000,12.430000,0.820000,33.970000,2.116311,3.338156,False,Inlier
69,69,17.280000,10.640000,-1.100000,31.760000,1.484574,3.338156,False,Inlier
70,70,17.530000,9.180000,-0.830000,39.290000,2.069706,3.338156,False,Inlier
71,71,17.780000,12.030000,-0.830000,29.080000,2.215395,3.338156,False,Inlier
72,72,18.030000,9.690000,0.070000,41.360000,2.156979,3.338156,False,Inlier
73,73,18.270000,11.940000,-1.370000,32.540000,1.931755,3.338156,False,Inlier
74,74,18.520000,11.960000,-0.100000,35.590000,1.531623,3.338156,False,Inlier
75,75,18.770000,12.620000,0.530000,40.050000,2.152898,3.338156,False,Inlier
76,76,19.010000,9.020000,-1.950000,38.340000,2.993561,3.338156,False,Inlier
77,77,19.260000,9.850000,-1.800000,34.190000,3.328156,3.338156,False,Inlier
78,78,19.510000,11.260000,-0.590000,39.180000,1.808617,3.338156,False,Inlier
79,79,19.750000,12.790000,1.470000,43.250000,2.306116,3.338156,False,Inlier
80,80,20.000000,11.290000,-2.060000,37.790000,2.287474,3.338156,False,Inlier
81,81,16.000000,-8.000000,10.000000,124.400000,25.510386,3.338156,True,Outlier
82,82,16.800000,-9.500000,11.500000,139.490000,29.078845,3.338156,True,Outlier
83,83,17.500000,-11.000000,13.000000,154.300000,32.627188,3.338156,True,Outlier
84,84,18.200000,-12.000000,14.500000,169.260000,36.092558,3.338156,True,Outlier
85,85,19.000000,-13.500000,16.000000,185.350000,39.957678,3.338156,True,Outlier
86,86,17.000000,16.000000,-12.000000,-38.000000,19.209392,3.338156,True,Outlier
87,87,18.000000,17.500000,-13.500000,-50.050000,23.025933,3.338156,True,Outlier
88,88,19.000000,19.000000,-15.000000,-62.100000,26.893838,3.338156,True,Outlier
89,89,19.500000,20.500000,-16.500000,-76.550000,31.211856,3.338156,True,Outlier
90,90,20.000000,22.000000,-18.000000,-93.000000,36.255588,3.338156,True,Outlier
